version,1.7.0
info,balls_per_over,6
info,team,France
info,team,Italy
info,gender,female
info,season,2023
info,date,2023/05/29
info,event,ICC Women's T20 World Cup Europe Division 2 Qualifier
info,match_number,3
info,venue,"Grainville, St Saviour, Jersey"
info,city,St Saviour
info,toss_winner,France
info,toss_decision,bat
info,player_of_match,EL Bartram
info,umpire,AY Harris
info,umpire,HE Kearns
info,reserve_umpire,DH Mclean
info,match_referee,G McCrea
info,winner,Italy
info,winner_wickets,6
info,player,France,IY Mckeon
info,player,France,L Wykes-Templeman
info,player,France,PC McGeown
info,player,France,Ganesh Pooja
info,player,France,ME Violleau
info,player,France,AL Seddon
info,player,France,A Bester
info,player,France,Emma Patel
info,player,France,TE Britton
info,player,France,DL Graham
info,player,France,PKM Mahawattage
info,player,Italy,AS Withanage
info,player,Italy,M Rathnayake
info,player,Italy,C Mahamalage
info,player,Italy,D Nanayakkara
info,player,Italy,EL Bartram
info,player,Italy,Regina Khan
info,player,Italy,K Peddrick
info,player,Italy,D Samarawickrama
info,player,Italy,N Asuramanage
info,player,Italy,K Kaur
info,player,Italy,AS Warnakulasuriya
info,registry,people,A Bester,047d293e
info,registry,people,AL Seddon,d12ec7b3
info,registry,people,AS Warnakulasuriya,05f1cff9
info,registry,people,AS Withanage,078f166f
info,registry,people,AY Harris,90d95b82
info,registry,people,C Mahamalage,3250b7db
info,registry,people,D Nanayakkara,dbf22922
info,registry,people,D Samarawickrama,3a592d0d
info,registry,people,DH Mclean,281d4749
info,registry,people,DL Graham,907e30d9
info,registry,people,EL Bartram,5fa7f030
info,registry,people,Emma Patel,030a38e0
info,registry,people,G McCrea,46f4a901
info,registry,people,Ganesh Pooja,ab144207
info,registry,people,HE Kearns,fd4959c8
info,registry,people,IY Mckeon,59ff3c57
info,registry,people,K Kaur,7ee0f839
info,registry,people,K Peddrick,a031b75e
info,registry,people,L Wykes-Templeman,46c9b2bc
info,registry,people,M Rathnayake,a969dc4c
info,registry,people,ME Violleau,69f47625
info,registry,people,N Asuramanage,46dff613
info,registry,people,PC McGeown,1aabd6fc
info,registry,people,PKM Mahawattage,a413b433
info,registry,people,Regina Khan,862f4427
info,registry,people,TE Britton,5eceeb7f
ball,1,0.1,France,IY Mckeon,L Wykes-Templeman,C Mahamalage,0,0,,,,,,"",""
ball,1,0.2,France,IY Mckeon,L Wykes-Templeman,C Mahamalage,0,0,,,,,,"",""
ball,1,0.3,France,IY Mckeon,L Wykes-Templeman,C Mahamalage,0,0,,,,,,"",""
ball,1,0.4,France,IY Mckeon,L Wykes-Templeman,C Mahamalage,0,0,,,,,,caught,IY Mckeon
ball,1,0.5,France,PC McGeown,L Wykes-Templeman,C Mahamalage,0,0,,,,,,"",""
ball,1,0.6,France,PC McGeown,L Wykes-Templeman,C Mahamalage,0,0,,,,,,"",""
ball,1,1.1,France,L Wykes-Templeman,PC McGeown,EL Bartram,0,0,,,,,,"",""
ball,1,1.2,France,L Wykes-Templeman,PC McGeown,EL Bartram,0,0,,,,,,"",""
ball,1,1.3,France,L Wykes-Templeman,PC McGeown,EL Bartram,0,1,1,,,,,"",""
ball,1,1.4,France,L Wykes-Templeman,PC McGeown,EL Bartram,0,1,1,,,,,"",""
ball,1,1.5,France,L Wykes-Templeman,PC McGeown,EL Bartram,4,0,,,,,,"",""
ball,1,1.6,France,L Wykes-Templeman,PC McGeown,EL Bartram,0,0,,,,,,"",""
ball,1,1.7,France,L Wykes-Templeman,PC McGeown,EL Bartram,0,1,1,,,,,"",""
ball,1,1.8,France,L Wykes-Templeman,PC McGeown,EL Bartram,1,0,,,,,,"",""
ball,1,1.9,France,PC McGeown,L Wykes-Templeman,EL Bartram,0,0,,,,,,"",""
ball,1,2.1,France,L Wykes-Templeman,PC McGeown,C Mahamalage,0,0,,,,,,"",""
ball,1,2.2,France,L Wykes-Templeman,PC McGeown,C Mahamalage,0,0,,,,,,"",""
ball,1,2.3,France,L Wykes-Templeman,PC McGeown,C Mahamalage,1,0,,,,,,"",""
ball,1,2.4,France,PC McGeown,L Wykes-Templeman,C Mahamalage,0,0,,,,,,"",""
ball,1,2.5,France,PC McGeown,L Wykes-Templeman,C Mahamalage,1,0,,,,,,"",""
ball,1,2.6,France,L Wykes-Templeman,PC McGeown,C Mahamalage,0,0,,,,,,"",""
ball,1,3.1,France,PC McGeown,L Wykes-Templeman,EL Bartram,0,0,,,,,,"",""
ball,1,3.2,France,PC McGeown,L Wykes-Templeman,EL Bartram,0,0,,,,,,caught,PC McGeown
ball,1,3.3,France,Ganesh Pooja,L Wykes-Templeman,EL Bartram,1,0,,,,,,"",""
ball,1,3.4,France,L Wykes-Templeman,Ganesh Pooja,EL Bartram,0,3,3,,,,,"",""
ball,1,3.5,France,L Wykes-Templeman,Ganesh Pooja,EL Bartram,0,0,,,,,,"",""
ball,1,3.6,France,L Wykes-Templeman,Ganesh Pooja,EL Bartram,0,3,3,,,,,"",""
ball,1,3.7,France,L Wykes-Templeman,Ganesh Pooja,EL Bartram,0,0,,,,,,"",""
ball,1,3.8,France,L Wykes-Templeman,Ganesh Pooja,EL Bartram,0,0,,,,,,"",""
ball,1,4.1,France,Ganesh Pooja,L Wykes-Templeman,C Mahamalage,0,0,,,,,,"",""
ball,1,4.2,France,Ganesh Pooja,L Wykes-Templeman,C Mahamalage,0,0,,,,,,"",""
ball,1,4.3,France,Ganesh Pooja,L Wykes-Templeman,C Mahamalage,0,0,,,,,,"",""
ball,1,4.4,France,Ganesh Pooja,L Wykes-Templeman,C Mahamalage,1,0,,,,,,"",""
ball,1,4.5,France,L Wykes-Templeman,Ganesh Pooja,C Mahamalage,0,0,,,,,,"",""
ball,1,4.6,France,L Wykes-Templeman,Ganesh Pooja,C Mahamalage,0,0,,,,,,"",""
ball,1,5.1,France,Ganesh Pooja,L Wykes-Templeman,K Peddrick,0,0,,,,,,"",""
ball,1,5.2,France,Ganesh Pooja,L Wykes-Templeman,K Peddrick,1,0,,,,,,run out,Ganesh Pooja
ball,1,5.3,France,ME Violleau,L Wykes-Templeman,K Peddrick,0,0,,,,,,run out,L Wykes-Templeman
ball,1,5.4,France,ME Violleau,AL Seddon,K Peddrick,0,1,1,,,,,"",""
ball,1,5.5,France,ME Violleau,AL Seddon,K Peddrick,0,0,,,,,,"",""
ball,1,5.6,France,ME Violleau,AL Seddon,K Peddrick,0,3,,1,2,,,"",""
ball,1,5.7,France,ME Violleau,AL Seddon,K Peddrick,1,0,,,,,,"",""
ball,1,5.8,France,AL Seddon,ME Violleau,K Peddrick,0,1,1,,,,,"",""
ball,1,5.9,France,AL Seddon,ME Violleau,K Peddrick,0,0,,,,,,"",""
ball,1,6.1,France,ME Violleau,AL Seddon,Regina Khan,0,0,,,,,,"",""
ball,1,6.2,France,ME Violleau,AL Seddon,Regina Khan,0,1,1,,,,,"",""
ball,1,6.3,France,ME Violleau,AL Seddon,Regina Khan,4,0,,,,,,"",""
ball,1,6.4,France,ME Violleau,AL Seddon,Regina Khan,1,0,,,,,,"",""
