version,1.7.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Thailand
info,gender,female
info,season,2023
info,date,2023/09/09
info,event,ICC Women's T20 World Cup Asia Region Qualifier
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,United Arab Emirates
info,toss_decision,bat
info,player_of_match,KKN Egodage
info,umpire,N Perera
info,umpire,VG Rathi
info,reserve_umpire,LDVV Silva
info,match_referee,M Nayyar
info,winner,United Arab Emirates
info,winner_runs,6
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,Chaya Mughal
info,player,United Arab Emirates,Khushi Sharma
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,S Gokhale
info,player,United Arab Emirates,AS Patil
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,I Nandakumar
info,player,United Arab Emirates,S Kotte
info,player,Thailand,S Khiaoto
info,player,Thailand,N Koncharoenkai
info,player,Thailand,R Kanoh
info,player,Thailand,N Boochatham
info,player,Thailand,C Sutthiruang
info,player,Thailand,N Chantam
info,player,Thailand,P Maya
info,player,Thailand,S Tippoch
info,player,Thailand,O Kamchomphu
info,player,Thailand,T Putthawong
info,player,Thailand,N Chaiwai
info,registry,people,AS Patil,ca707bdc
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,Chaya Mughal,77b26349
info,registry,people,ER Oza,fdc6b34d
info,registry,people,I Nandakumar,9f87d0f0
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,Khushi Sharma,a259c414
info,registry,people,LDVV Silva,6e226c31
info,registry,people,M Nayyar,b7bccddb
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Chantam,b5626ff7
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,N Perera,129709f9
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,R Kanoh,5959370f
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,S Gokhale,62653085
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Kotte,6c8904c8
info,registry,people,S Tippoch,9c4b58db
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,VG Rathi,144e5b16
info,registry,people,Vaishnave Mahesh,31c56f40
ball,1,0.1,United Arab Emirates,ER Oza,Theertha Satish,C Sutthiruang,2,0,,,,,,"",""
ball,1,0.2,United Arab Emirates,ER Oza,Theertha Satish,C Sutthiruang,0,0,,,,,,"",""
ball,1,0.3,United Arab Emirates,ER Oza,Theertha Satish,C Sutthiruang,0,1,1,,,,,"",""
ball,1,0.4,United Arab Emirates,ER Oza,Theertha Satish,C Sutthiruang,0,0,,,,,,"",""
ball,1,0.5,United Arab Emirates,ER Oza,Theertha Satish,C Sutthiruang,0,0,,,,,,bowled,ER Oza
ball,1,0.6,United Arab Emirates,KKN Egodage,Theertha Satish,C Sutthiruang,0,0,,,,,,"",""
ball,1,0.7,United Arab Emirates,KKN Egodage,Theertha Satish,C Sutthiruang,0,0,,,,,,"",""
ball,1,1.1,United Arab Emirates,Theertha Satish,KKN Egodage,P Maya,0,0,,,,,,"",""
ball,1,1.2,United Arab Emirates,Theertha Satish,KKN Egodage,P Maya,2,0,,,,,,"",""
ball,1,1.3,United Arab Emirates,Theertha Satish,KKN Egodage,P Maya,0,0,,,,,,"",""
ball,1,1.4,United Arab Emirates,Theertha Satish,KKN Egodage,P Maya,1,0,,,,,,"",""
ball,1,1.5,United Arab Emirates,KKN Egodage,Theertha Satish,P Maya,1,0,,,,,,"",""
ball,1,1.6,United Arab Emirates,Theertha Satish,KKN Egodage,P Maya,0,1,1,,,,,"",""
ball,1,1.7,United Arab Emirates,Theertha Satish,KKN Egodage,P Maya,0,0,,,,,,"",""
ball,1,2.1,United Arab Emirates,KKN Egodage,Theertha Satish,C Sutthiruang,0,0,,,,,,"",""
ball,1,2.2,United Arab Emirates,KKN Egodage,Theertha Satish,C Sutthiruang,0,0,,,,,,"",""
ball,1,2.3,United Arab Emirates,KKN Egodage,Theertha Satish,C Sutthiruang,0,0,,,,,,"",""
ball,1,2.4,United Arab Emirates,KKN Egodage,Theertha Satish,C Sutthiruang,0,0,,,,,,"",""
ball,1,2.5,United Arab Emirates,KKN Egodage,Theertha Satish,C Sutthiruang,1,0,,,,,,"",""
ball,1,2.6,United Arab Emirates,Theertha Satish,KKN Egodage,C Sutthiruang,0,0,,,,,,"",""
ball,1,3.1,United Arab Emirates,KKN Egodage,Theertha Satish,N Boochatham,0,0,,,,,,"",""
ball,1,3.2,United Arab Emirates,KKN Egodage,Theertha Satish,N Boochatham,0,0,,,,,,"",""
ball,1,3.3,United Arab Emirates,KKN Egodage,Theertha Satish,N Boochatham,0,1,1,,,,,"",""
ball,1,3.4,United Arab Emirates,KKN Egodage,Theertha Satish,N Boochatham,2,0,,,,,,"",""
