version,1.7.0
info,balls_per_over,6
info,team,Croatia
info,team,Spain
info,gender,male
info,season,2024
info,date,2024/08/02
info,event,Spain tour of Croatia
info,match_number,1
info,venue,"Mladost Cricket Ground, Zagreb"
info,city,Zagreb
info,toss_winner,Spain
info,toss_decision,field
info,player_of_match,Yasir Ali
info,winner,Spain
info,winner_wickets,4
info,player,Croatia,J Danikula
info,player,Croatia,Rashid Hashmi
info,player,Croatia,Saghar Manzoor
info,player,Croatia,V Rathinasamy
info,player,Croatia,S Houghton
info,player,Croatia,A Shukla
info,player,Croatia,A Maheshwari
info,player,Croatia,A Chaubey
info,player,Croatia,A Sathyan
info,player,Croatia,A Magdalenic
info,player,Croatia,V Pulibanti
info,player,Spain,Mohammad Ihsan
info,player,Spain,Shafat Ali Syed
info,player,Spain,Yasir Ali
info,player,Spain,D Doyle-Calle
info,player,Spain,Hamza Dar
info,player,Spain,A Davidson Soler
info,player,Spain,C Munoz-Mills
info,player,Spain,LA Burns
info,player,Spain,C Rumistrzewicz
info,player,Spain,Atif Mehmood
info,player,Spain,Mohammad Atif
info,registry,people,A Chaubey,c577d7d4
info,registry,people,A Davidson Soler,524943f1
info,registry,people,A Magdalenic,d6a2f3a5
info,registry,people,A Maheshwari,3ec513ea
info,registry,people,A Sathyan,ed47a68b
info,registry,people,A Shukla,c594137f
info,registry,people,Atif Mehmood,7fcc57bf
info,registry,people,C Munoz-Mills,17bc032c
info,registry,people,C Rumistrzewicz,3ed4e2ad
info,registry,people,D Doyle-Calle,74be2916
info,registry,people,Hamza Dar,557550a4
info,registry,people,J Danikula,98e4af63
info,registry,people,LA Burns,5b616bf0
info,registry,people,Mohammad Atif,705b8c5c
info,registry,people,Mohammad Ihsan,510e33d3
info,registry,people,Rashid Hashmi,727b313a
info,registry,people,S Houghton,4895df9e
info,registry,people,Saghar Manzoor,9d103769
info,registry,people,Shafat Ali Syed,6d36cb93
info,registry,people,V Pulibanti,ac02a458
info,registry,people,V Rathinasamy,305c9b8a
info,registry,people,Yasir Ali,79209272
ball,1,0.1,Croatia,J Danikula,Rashid Hashmi,Atif Mehmood,1,0,,,,,,"",""
ball,1,0.2,Croatia,Rashid Hashmi,J Danikula,Atif Mehmood,0,0,,,,,,"",""
ball,1,0.3,Croatia,Rashid Hashmi,J Danikula,Atif Mehmood,0,0,,,,,,"",""
ball,1,0.4,Croatia,Rashid Hashmi,J Danikula,Atif Mehmood,0,0,,,,,,"",""
ball,1,0.5,Croatia,Rashid Hashmi,J Danikula,Atif Mehmood,0,0,,,,,,"",""
ball,1,0.6,Croatia,Rashid Hashmi,J Danikula,Atif Mehmood,0,0,,,,,,"",""
ball,1,1.1,Croatia,J Danikula,Rashid Hashmi,Mohammad Atif,1,0,,,,,,"",""
ball,1,1.2,Croatia,Rashid Hashmi,J Danikula,Mohammad Atif,0,0,,,,,,"",""
ball,1,1.3,Croatia,Rashid Hashmi,J Danikula,Mohammad Atif,0,0,,,,,,"",""
ball,1,1.4,Croatia,Rashid Hashmi,J Danikula,Mohammad Atif,0,1,1,,,,,"",""
ball,1,1.5,Croatia,Rashid Hashmi,J Danikula,Mohammad Atif,0,0,,,,,,"",""
ball,1,1.6,Croatia,Rashid Hashmi,J Danikula,Mohammad Atif,0,0,,,,,,"",""
ball,1,1.7,Croatia,Rashid Hashmi,J Danikula,Mohammad Atif,0,0,,,,,,"",""
ball,1,2.1,Croatia,J Danikula,Rashid Hashmi,Atif Mehmood,0,0,,,,,,"",""
ball,1,2.2,Croatia,J Danikula,Rashid Hashmi,Atif Mehmood,0,0,,,,,,"",""
ball,1,2.3,Croatia,J Danikula,Rashid Hashmi,Atif Mehmood,0,0,,,,,,"",""
ball,1,2.4,Croatia,J Danikula,Rashid Hashmi,Atif Mehmood,0,0,,,,,,"",""
ball,1,2.5,Croatia,J Danikula,Rashid Hashmi,Atif Mehmood,1,0,,,,,,"",""
ball,1,2.6,Croatia,Rashid Hashmi,J Danikula,Atif Mehmood,1,0,,,,,,"",""
