version,1.6.0
info,balls_per_over,6
info,team,Pakistan
info,team,Bangladesh
info,gender,male
info,season,2019/20
info,date,2020/01/25
info,event,Bangladesh tour of Pakistan
info,match_number,2
info,venue,Gaddafi Stadium
info,city,Lahore
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,Babar Azam
info,umpire,Shozab Raza
info,umpire,Ahsan Raza
info,reserve_umpire,Tariq Rasheed
info,tv_umpire,Ahmed Shahab
info,match_referee,RS Madugalle
info,winner,Pakistan
info,winner_wickets,9
info,player,Bangladesh,Tamim Iqbal
info,player,Bangladesh,Mohammad Naim
info,player,Bangladesh,Mahedi Hasan
info,player,Bangladesh,Liton Das
info,player,Bangladesh,Afif Hossain
info,player,Bangladesh,Mahmudullah
info,player,Bangladesh,Soumya Sarkar
info,player,Bangladesh,Aminul Islam Biplob
info,player,Bangladesh,Shafiul Islam
info,player,Bangladesh,Mustafizur Rahman
info,player,Bangladesh,Al-Amin Hossain
info,player,Pakistan,Babar Azam
info,player,Pakistan,Ahsan Ali
info,player,Pakistan,Mohammad Hafeez
info,player,Pakistan,Shoaib Malik
info,player,Pakistan,Iftikhar Ahmed
info,player,Pakistan,Imad Wasim
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Shadab Khan
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Haris Rauf
info,player,Pakistan,Mohammad Hasnain
info,registry,people,Afif Hossain,37138918
info,registry,people,Ahmed Shahab,86a1918c
info,registry,people,Ahsan Ali,dc2abe5e
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,Al-Amin Hossain,3f5f39cd
info,registry,people,Aminul Islam Biplob,f8ce577b
info,registry,people,Babar Azam,8a75e999
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Iftikhar Ahmed,29e253dd
info,registry,people,Imad Wasim,9cb8d7a6
info,registry,people,Liton Das,0404d43c
info,registry,people,Mahedi Hasan,9dad0f2e
info,registry,people,Mahmudullah,bf1d7d3e
info,registry,people,Mohammad Hafeez,9ab63e7b
info,registry,people,Mohammad Hasnain,8596fe80
info,registry,people,Mohammad Naim,7923a51d
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,RS Madugalle,766b5798
info,registry,people,Shadab Khan,9de62878
info,registry,people,Shafiul Islam,1a8eebbe
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,Shoaib Malik,64c34cd0
info,registry,people,Shozab Raza,153c67dc
info,registry,people,Soumya Sarkar,4d9f9686
info,registry,people,Tamim Iqbal,3b041a12
info,registry,people,Tariq Rasheed,1008518c
ball,1,0.1,Bangladesh,Tamim Iqbal,Mohammad Naim,Imad Wasim,0,0,,,,,,"",""
ball,1,0.2,Bangladesh,Tamim Iqbal,Mohammad Naim,Imad Wasim,0,0,,,,,,"",""
ball,1,0.3,Bangladesh,Tamim Iqbal,Mohammad Naim,Imad Wasim,0,1,1,,,,,"",""
ball,1,0.4,Bangladesh,Tamim Iqbal,Mohammad Naim,Imad Wasim,0,0,,,,,,"",""
ball,1,0.5,Bangladesh,Tamim Iqbal,Mohammad Naim,Imad Wasim,2,0,,,,,,"",""
ball,1,0.6,Bangladesh,Tamim Iqbal,Mohammad Naim,Imad Wasim,0,0,,,,,,"",""
ball,1,0.7,Bangladesh,Tamim Iqbal,Mohammad Naim,Imad Wasim,1,0,,,,,,"",""
ball,1,1.1,Bangladesh,Tamim Iqbal,Mohammad Naim,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,1.2,Bangladesh,Mohammad Naim,Tamim Iqbal,Shaheen Shah Afridi,0,0,,,,,,caught,Mohammad Naim
ball,1,1.3,Bangladesh,Mahedi Hasan,Tamim Iqbal,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,1.4,Bangladesh,Mahedi Hasan,Tamim Iqbal,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,1.5,Bangladesh,Mahedi Hasan,Tamim Iqbal,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,1.6,Bangladesh,Mahedi Hasan,Tamim Iqbal,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,2.1,Bangladesh,Mahedi Hasan,Tamim Iqbal,Imad Wasim,0,0,,,,,,"",""
ball,1,2.2,Bangladesh,Mahedi Hasan,Tamim Iqbal,Imad Wasim,0,0,,,,,,"",""
ball,1,2.3,Bangladesh,Mahedi Hasan,Tamim Iqbal,Imad Wasim,6,0,,,,,,"",""
ball,1,2.4,Bangladesh,Mahedi Hasan,Tamim Iqbal,Imad Wasim,1,0,,,,,,"",""
ball,1,2.5,Bangladesh,Tamim Iqbal,Mahedi Hasan,Imad Wasim,4,0,,,,,,"",""
ball,1,2.6,Bangladesh,Tamim Iqbal,Mahedi Hasan,Imad Wasim,1,0,,,,,,"",""
ball,1,3.1,Bangladesh,Tamim Iqbal,Mahedi Hasan,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,3.2,Bangladesh,Tamim Iqbal,Mahedi Hasan,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,3.3,Bangladesh,Tamim Iqbal,Mahedi Hasan,Shaheen Shah Afridi,2,0,,,,,,"",""
ball,1,3.4,Bangladesh,Tamim Iqbal,Mahedi Hasan,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,3.5,Bangladesh,Mahedi Hasan,Tamim Iqbal,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,3.6,Bangladesh,Mahedi Hasan,Tamim Iqbal,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,4.1,Bangladesh,Mahedi Hasan,Tamim Iqbal,Mohammad Hasnain,0,0,,,,,,"",""
ball,1,4.2,Bangladesh,Mahedi Hasan,Tamim Iqbal,Mohammad Hasnain,0,0,,,,,,caught,Mahedi Hasan
ball,1,4.3,Bangladesh,Liton Das,Tamim Iqbal,Mohammad Hasnain,1,0,,,,,,"",""
ball,1,4.4,Bangladesh,Tamim Iqbal,Liton Das,Mohammad Hasnain,4,0,,,,,,"",""
ball,1,4.5,Bangladesh,Tamim Iqbal,Liton Das,Mohammad Hasnain,0,0,,,,,,"",""
ball,1,4.6,Bangladesh,Tamim Iqbal,Liton Das,Mohammad Hasnain,0,0,,,,,,"",""
ball,1,5.1,Bangladesh,Liton Das,Tamim Iqbal,Haris Rauf,0,0,,,,,,"",""
ball,1,5.2,Bangladesh,Liton Das,Tamim Iqbal,Haris Rauf,0,0,,,,,,"",""
ball,1,5.3,Bangladesh,Liton Das,Tamim Iqbal,Haris Rauf,0,0,,,,,,"",""
ball,1,5.4,Bangladesh,Liton Das,Tamim Iqbal,Haris Rauf,4,0,,,,,,"",""
ball,1,5.5,Bangladesh,Liton Das,Tamim Iqbal,Haris Rauf,1,0,,,,,,"",""
ball,1,5.6,Bangladesh,Tamim Iqbal,Liton Das,Haris Rauf,1,0,,,,,,"",""
ball,1,6.1,Bangladesh,Tamim Iqbal,Liton Das,Mohammad Hasnain,1,0,,,,,,"",""
