version,1.7.0
info,balls_per_over,6
info,team,Scotland
info,team,Zimbabwe
info,gender,male
info,season,2021
info,date,2021/09/15
info,event,Zimbabwe tour of Ireland and Scotland
info,match_number,1
info,venue,"Grange Cricket Club Ground, Raeburn Place, Edinburgh"
info,city,Edinburgh
info,toss_winner,Scotland
info,toss_decision,bat
info,winner,Scotland
info,winner_runs,7
info,player,Scotland,HG Munsey
info,player,Scotland,KJ Coetzer
info,player,Scotland,OJ Hairs
info,player,Scotland,RD Berrington
info,player,Scotland,CS MacLeod
info,player,Scotland,MH Cross
info,player,Scotland,MA Leask
info,player,Scotland,SM Sharif
info,player,Scotland,MRJ Watt
info,player,Scotland,AC Evans
info,player,Scotland,CB Sole
info,player,Zimbabwe,W Madhevere
info,player,Zimbabwe,T Marumani
info,player,Zimbabwe,RW Chakabva
info,player,Zimbabwe,CR Ervine
info,player,Zimbabwe,SC Williams
info,player,Zimbabwe,M Shumba
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,LM Jongwe
info,player,Zimbabwe,WP Masakadza
info,player,Zimbabwe,TL Chatara
info,player,Zimbabwe,R Ngarava
info,registry,people,AC Evans,e9a870ed
info,registry,people,CB Sole,469ccead
info,registry,people,CR Ervine,c96311d4
info,registry,people,CS MacLeod,9c376401
info,registry,people,HG Munsey,ff014c34
info,registry,people,KJ Coetzer,85d8110a
info,registry,people,LM Jongwe,b8704508
info,registry,people,M Shumba,6766ca00
info,registry,people,MA Leask,28131839
info,registry,people,MH Cross,8b261d84
info,registry,people,MRJ Watt,1252f71a
info,registry,people,OJ Hairs,c8a7b014
info,registry,people,R Ngarava,6e3f5a5c
info,registry,people,RD Berrington,e21bc7f3
info,registry,people,RP Burl,b08252b8
info,registry,people,RW Chakabva,2f0d7e4a
info,registry,people,SC Williams,afe57f7a
info,registry,people,SM Sharif,f43dd8c2
info,registry,people,T Marumani,3d5d51a5
info,registry,people,TL Chatara,5bbabe59
info,registry,people,W Madhevere,a879b92c
info,registry,people,WP Masakadza,4bc0a378
ball,1,0.1,Scotland,HG Munsey,KJ Coetzer,WP Masakadza,1,0,,,,,,"",""
ball,1,0.2,Scotland,KJ Coetzer,HG Munsey,WP Masakadza,1,0,,,,,,"",""
ball,1,0.3,Scotland,HG Munsey,KJ Coetzer,WP Masakadza,0,0,,,,,,lbw,HG Munsey
ball,1,0.4,Scotland,OJ Hairs,KJ Coetzer,WP Masakadza,0,1,1,,,,,"",""
ball,1,0.5,Scotland,OJ Hairs,KJ Coetzer,WP Masakadza,4,0,,,,,,"",""
ball,1,0.6,Scotland,OJ Hairs,KJ Coetzer,WP Masakadza,1,0,,,,,,"",""
ball,1,0.7,Scotland,KJ Coetzer,OJ Hairs,WP Masakadza,1,0,,,,,,"",""
ball,1,1.1,Scotland,KJ Coetzer,OJ Hairs,TL Chatara,0,0,,,,,,bowled,KJ Coetzer
ball,1,1.2,Scotland,RD Berrington,OJ Hairs,TL Chatara,0,0,,,,,,"",""
ball,1,1.3,Scotland,RD Berrington,OJ Hairs,TL Chatara,0,0,,,,,,"",""
ball,1,1.4,Scotland,RD Berrington,OJ Hairs,TL Chatara,0,0,,,,,,"",""
ball,1,1.5,Scotland,RD Berrington,OJ Hairs,TL Chatara,4,0,,,,,,"",""
ball,1,1.6,Scotland,RD Berrington,OJ Hairs,TL Chatara,1,0,,,,,,"",""
ball,1,2.1,Scotland,RD Berrington,OJ Hairs,R Ngarava,0,0,,,,,,"",""
ball,1,2.2,Scotland,RD Berrington,OJ Hairs,R Ngarava,0,0,,,,,,"",""
ball,1,2.3,Scotland,RD Berrington,OJ Hairs,R Ngarava,3,0,,,,,,"",""
ball,1,2.4,Scotland,OJ Hairs,RD Berrington,R Ngarava,0,0,,,,,,caught,OJ Hairs
ball,1,2.5,Scotland,CS MacLeod,RD Berrington,R Ngarava,0,0,,,,,,"",""
ball,1,2.6,Scotland,CS MacLeod,RD Berrington,R Ngarava,0,0,,,,,,"",""
ball,1,3.1,Scotland,RD Berrington,CS MacLeod,TL Chatara,0,0,,,,,,"",""
ball,1,3.2,Scotland,RD Berrington,CS MacLeod,TL Chatara,4,0,,,,,,"",""
ball,1,3.3,Scotland,RD Berrington,CS MacLeod,TL Chatara,0,1,,,,1,,"",""
ball,1,3.4,Scotland,CS MacLeod,RD Berrington,TL Chatara,1,0,,,,,,"",""
ball,1,3.5,Scotland,RD Berrington,CS MacLeod,TL Chatara,1,0,,,,,,"",""
