version,1.6.0
info,balls_per_over,6
info,team,India
info,team,Malaysia
info,gender,female
info,season,2018
info,date,2018/06/03
info,event,Women's Twenty20 Asia Cup
info,match_number,1
info,venue,Kinrara Academy Oval
info,city,Kuala Lumpur
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,M Raj
info,umpire,BB Pradhan
info,umpire,Sarika Prasad
info,reserve_umpire,REJ Martinesz
info,match_referee,WC Labrooy
info,winner,India
info,winner_runs,142
info,player,India,M Raj
info,player,India,S Mandhana
info,player,India,P Vastrakar
info,player,India,H Kaur
info,player,India,DB Sharma
info,player,India,RS Gayakwad
info,player,India,MR Meshram
info,player,India,AA Patil
info,player,India,S Pandey
info,player,India,T Bhatia
info,player,India,Poonam Yadav
info,player,Malaysia,Yusrina Yaakop
info,player,Malaysia,Christina Baret
info,player,Malaysia,WA Duraisingam
info,player,Malaysia,Mas Elysa
info,player,Malaysia,Mahirah Izzati Ismail
info,player,Malaysia,J Intan
info,player,Malaysia,Sasha Azmi
info,player,Malaysia,Zumika Azmi
info,player,Malaysia,Noor Hayati Zakaria
info,player,Malaysia,Ainna Hamizah Hashim
info,player,Malaysia,Nur Nadihirah
info,registry,people,AA Patil,7c1ba524
info,registry,people,Ainna Hamizah Hashim,4c7744de
info,registry,people,BB Pradhan,8603d942
info,registry,people,Christina Baret,b42d42b1
info,registry,people,DB Sharma,201fef33
info,registry,people,H Kaur,53cd8da6
info,registry,people,J Intan,2dfdd316
info,registry,people,M Raj,ec2269dc
info,registry,people,MR Meshram,89ee5191
info,registry,people,Mahirah Izzati Ismail,b9b32e3c
info,registry,people,Mas Elysa,857de42e
info,registry,people,Noor Hayati Zakaria,31382975
info,registry,people,Nur Nadihirah,0877eba5
info,registry,people,P Vastrakar,8026ea72
info,registry,people,Poonam Yadav,d0bb40b8
info,registry,people,REJ Martinesz,140cdf29
info,registry,people,RS Gayakwad,237ec05b
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Pandey,5463cb7a
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Sasha Azmi,9e4f6851
info,registry,people,T Bhatia,211dc1ce
info,registry,people,WA Duraisingam,7467fe01
info,registry,people,WC Labrooy,29d4e29b
info,registry,people,Yusrina Yaakop,c74d14f1
info,registry,people,Zumika Azmi,d35c1fc7
ball,1,0.1,India,M Raj,S Mandhana,WA Duraisingam,0,0,,,,,,"",""
ball,1,0.2,India,M Raj,S Mandhana,WA Duraisingam,1,0,,,,,,"",""
ball,1,0.3,India,S Mandhana,M Raj,WA Duraisingam,1,0,,,,,,"",""
ball,1,0.4,India,M Raj,S Mandhana,WA Duraisingam,4,0,,,,,,"",""
ball,1,0.5,India,M Raj,S Mandhana,WA Duraisingam,0,0,,,,,,"",""
ball,1,0.6,India,M Raj,S Mandhana,WA Duraisingam,0,0,,,,,,"",""
ball,1,1.1,India,S Mandhana,M Raj,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,1.2,India,S Mandhana,M Raj,Ainna Hamizah Hashim,1,0,,,,,,"",""
ball,1,1.3,India,M Raj,S Mandhana,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,1.4,India,M Raj,S Mandhana,Ainna Hamizah Hashim,1,0,,,,,,"",""
ball,1,1.5,India,S Mandhana,M Raj,Ainna Hamizah Hashim,0,0,,,,,,bowled,S Mandhana
ball,1,1.6,India,P Vastrakar,M Raj,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,2.1,India,M Raj,P Vastrakar,WA Duraisingam,0,0,,,,,,"",""
ball,1,2.2,India,M Raj,P Vastrakar,WA Duraisingam,0,0,,,,,,"",""
ball,1,2.3,India,M Raj,P Vastrakar,WA Duraisingam,0,0,,,,,,"",""
ball,1,2.4,India,M Raj,P Vastrakar,WA Duraisingam,0,0,,,,,,"",""
ball,1,2.5,India,M Raj,P Vastrakar,WA Duraisingam,1,0,,,,,,"",""
ball,1,2.6,India,P Vastrakar,M Raj,WA Duraisingam,4,0,,,,,,"",""
ball,1,3.1,India,M Raj,P Vastrakar,Ainna Hamizah Hashim,3,0,,,,,,"",""
ball,1,3.2,India,P Vastrakar,M Raj,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,3.3,India,P Vastrakar,M Raj,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,3.4,India,P Vastrakar,M Raj,Ainna Hamizah Hashim,4,0,,,,,,"",""
ball,1,3.5,India,P Vastrakar,M Raj,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,3.6,India,P Vastrakar,M Raj,Ainna Hamizah Hashim,1,0,,,,,,"",""
ball,1,4.1,India,P Vastrakar,M Raj,Noor Hayati Zakaria,1,0,,,,,,"",""
ball,1,4.2,India,M Raj,P Vastrakar,Noor Hayati Zakaria,0,0,,,,,,"",""
ball,1,4.3,India,M Raj,P Vastrakar,Noor Hayati Zakaria,4,0,,,,,,"",""
ball,1,4.4,India,M Raj,P Vastrakar,Noor Hayati Zakaria,0,0,,,,,,"",""
ball,1,4.5,India,M Raj,P Vastrakar,Noor Hayati Zakaria,1,0,,,,,,"",""
ball,1,4.6,India,P Vastrakar,M Raj,Noor Hayati Zakaria,0,0,,,,,,"",""
ball,1,5.1,India,M Raj,P Vastrakar,Ainna Hamizah Hashim,1,0,,,,,,"",""
ball,1,5.2,India,P Vastrakar,M Raj,Ainna Hamizah Hashim,1,0,,,,,,"",""
ball,1,5.3,India,M Raj,P Vastrakar,Ainna Hamizah Hashim,1,0,,,,,,"",""
ball,1,5.4,India,P Vastrakar,M Raj,Ainna Hamizah Hashim,4,0,,,,,,"",""
ball,1,5.5,India,P Vastrakar,M Raj,Ainna Hamizah Hashim,1,0,,,,,,"",""
ball,1,5.6,India,M Raj,P Vastrakar,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,6.1,India,P Vastrakar,M Raj,Noor Hayati Zakaria,0,0,,,,,,caught,P Vastrakar
