version,1.7.0
info,balls_per_over,6
info,team,Scotland
info,team,United Arab Emirates
info,gender,male
info,season,2023/24
info,date,2024/03/11
info,event,Scotland tour of United Arab Emirates
info,match_number,1
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,United Arab Emirates
info,toss_decision,field
info,player_of_match,Junaid Siddique
info,umpire,Akbar Ali
info,umpire,Shiju Sam
info,reserve_umpire,Nadeem Anjum
info,tv_umpire,Aasif Iqbal
info,match_referee,Muhammad Javed
info,winner,United Arab Emirates
info,winner_wickets,8
info,player,Scotland,HG Munsey
info,player,Scotland,OJ Hairs
info,player,Scotland,BJ McMullen
info,player,Scotland,RD Berrington
info,player,Scotland,MA Leask
info,player,Scotland,J Jarvis
info,player,Scotland,MH Cross
info,player,Scotland,CN Greaves
info,player,Scotland,MRJ Watt
info,player,Scotland,SM Sharif
info,player,Scotland,GT Main
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,T Suri
info,player,United Arab Emirates,A Sharafu
info,player,United Arab Emirates,Aryan Lakra
info,player,United Arab Emirates,R Chopra
info,player,United Arab Emirates,Basil Hameed
info,player,United Arab Emirates,Aayan Afzal Khan
info,player,United Arab Emirates,Zuhaib Zubair
info,player,United Arab Emirates,Junaid Siddique
info,player,United Arab Emirates,Hazrat Luqman
info,player,United Arab Emirates,Akif Raja
info,registry,people,A Sharafu,06cad4f0
info,registry,people,Aasif Iqbal,42c41e1a
info,registry,people,Aayan Afzal Khan,d2d15439
info,registry,people,Akbar Ali,e753931d
info,registry,people,Akif Raja,9d0344f3
info,registry,people,Aryan Lakra,099135ad
info,registry,people,BJ McMullen,436c763a
info,registry,people,Basil Hameed,adbf0400
info,registry,people,CN Greaves,f42064d5
info,registry,people,GT Main,4ebc70ca
info,registry,people,HG Munsey,ff014c34
info,registry,people,Hazrat Luqman,fdc1ac0f
info,registry,people,J Jarvis,ab54f9e7
info,registry,people,Junaid Siddique,84dc72db
info,registry,people,MA Leask,28131839
info,registry,people,MH Cross,8b261d84
info,registry,people,MRJ Watt,1252f71a
info,registry,people,Muhammad Javed,bde2d0ea
info,registry,people,Nadeem Anjum,7ccbae86
info,registry,people,OJ Hairs,c8a7b014
info,registry,people,R Chopra,a71d0f89
info,registry,people,RD Berrington,e21bc7f3
info,registry,people,SM Sharif,f43dd8c2
info,registry,people,Shiju Sam,1e2f3eae
info,registry,people,T Suri,a76d4082
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Zuhaib Zubair,9124aa4c
ball,1,0.1,Scotland,HG Munsey,OJ Hairs,Junaid Siddique,0,0,,,,,,"",""
ball,1,0.2,Scotland,HG Munsey,OJ Hairs,Junaid Siddique,0,2,2,,,,,"",""
ball,1,0.3,Scotland,OJ Hairs,HG Munsey,Junaid Siddique,0,0,,,,,,bowled,OJ Hairs
ball,1,0.4,Scotland,BJ McMullen,HG Munsey,Junaid Siddique,0,0,,,,,,"",""
ball,1,0.5,Scotland,BJ McMullen,HG Munsey,Junaid Siddique,0,1,1,,,,,"",""
ball,1,0.6,Scotland,BJ McMullen,HG Munsey,Junaid Siddique,0,0,,,,,,"",""
ball,1,0.7,Scotland,BJ McMullen,HG Munsey,Junaid Siddique,0,0,,,,,,"",""
ball,1,0.8,Scotland,BJ McMullen,HG Munsey,Junaid Siddique,0,0,,,,,,"",""
ball,1,1.1,Scotland,HG Munsey,BJ McMullen,Hazrat Luqman,0,0,,,,,,"",""
ball,1,1.2,Scotland,HG Munsey,BJ McMullen,Hazrat Luqman,0,0,,,,,,"",""
ball,1,1.3,Scotland,HG Munsey,BJ McMullen,Hazrat Luqman,2,0,,,,,,"",""
ball,1,1.4,Scotland,HG Munsey,BJ McMullen,Hazrat Luqman,0,0,,,,,,"",""
ball,1,1.5,Scotland,HG Munsey,BJ McMullen,Hazrat Luqman,0,0,,,,,,"",""
ball,1,1.6,Scotland,HG Munsey,BJ McMullen,Hazrat Luqman,4,0,,,,,,"",""
ball,1,2.1,Scotland,BJ McMullen,HG Munsey,Junaid Siddique,0,0,,,,,,"",""
ball,1,2.2,Scotland,BJ McMullen,HG Munsey,Junaid Siddique,1,0,,,,,,"",""
ball,1,2.3,Scotland,HG Munsey,BJ McMullen,Junaid Siddique,0,0,,,,,,"",""
ball,1,2.4,Scotland,HG Munsey,BJ McMullen,Junaid Siddique,2,0,,,,,,"",""
ball,1,2.5,Scotland,HG Munsey,BJ McMullen,Junaid Siddique,1,0,,,,,,"",""
ball,1,2.6,Scotland,BJ McMullen,HG Munsey,Junaid Siddique,0,0,,,,,,bowled,BJ McMullen
ball,1,3.1,Scotland,HG Munsey,RD Berrington,Hazrat Luqman,0,0,,,,,,"",""
ball,1,3.2,Scotland,HG Munsey,RD Berrington,Hazrat Luqman,0,4,,,4,,,"",""
ball,1,3.3,Scotland,HG Munsey,RD Berrington,Hazrat Luqman,4,0,,,,,,"",""
ball,1,3.4,Scotland,HG Munsey,RD Berrington,Hazrat Luqman,0,0,,,,,,"",""
ball,1,3.5,Scotland,HG Munsey,RD Berrington,Hazrat Luqman,1,0,,,,,,"",""
ball,1,3.6,Scotland,RD Berrington,HG Munsey,Hazrat Luqman,1,0,,,,,,"",""
ball,1,4.1,Scotland,RD Berrington,HG Munsey,Akif Raja,3,0,,,,,,"",""
ball,1,4.2,Scotland,HG Munsey,RD Berrington,Akif Raja,0,0,,,,,,"",""
ball,1,4.3,Scotland,HG Munsey,RD Berrington,Akif Raja,1,0,,,,,,"",""
ball,1,4.4,Scotland,RD Berrington,HG Munsey,Akif Raja,1,0,,,,,,"",""
ball,1,4.5,Scotland,HG Munsey,RD Berrington,Akif Raja,0,0,,,,,,"",""
ball,1,4.6,Scotland,HG Munsey,RD Berrington,Akif Raja,1,0,,,,,,"",""
ball,1,5.1,Scotland,HG Munsey,RD Berrington,Hazrat Luqman,1,0,,,,,,"",""
ball,1,5.2,Scotland,RD Berrington,HG Munsey,Hazrat Luqman,1,0,,,,,,"",""
ball,1,5.3,Scotland,HG Munsey,RD Berrington,Hazrat Luqman,4,0,,,,,,"",""
ball,1,5.4,Scotland,HG Munsey,RD Berrington,Hazrat Luqman,6,0,,,,,,"",""
ball,1,5.5,Scotland,HG Munsey,RD Berrington,Hazrat Luqman,0,0,,,,,,"",""
ball,1,5.6,Scotland,HG Munsey,RD Berrington,Hazrat Luqman,6,0,,,,,,"",""
ball,1,6.1,Scotland,RD Berrington,HG Munsey,Aayan Afzal Khan,1,0,,,,,,"",""
ball,1,6.2,Scotland,HG Munsey,RD Berrington,Aayan Afzal Khan,1,0,,,,,,"",""
ball,1,6.3,Scotland,RD Berrington,HG Munsey,Aayan Afzal Khan,0,0,,,,,,"",""
ball,1,6.4,Scotland,RD Berrington,HG Munsey,Aayan Afzal Khan,0,0,,,,,,caught,RD Berrington
ball,1,6.5,Scotland,MA Leask,HG Munsey,Aayan Afzal Khan,0,0,,,,,,"",""
ball,1,6.6,Scotland,MA Leask,HG Munsey,Aayan Afzal Khan,1,0,,,,,,"",""
ball,1,7.1,Scotland,MA Leask,HG Munsey,Akif Raja,1,0,,,,,,"",""
