version,1.7.0
info,balls_per_over,6
info,team,Vanuatu
info,team,Ireland
info,gender,female
info,season,2024
info,date,2024/05/01
info,event,ICC Women's T20 World Cup Qualifier
info,match_number,15
info,venue,"Tolerance Oval, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,Ireland
info,toss_decision,field
info,player_of_match,EAJ Richardson
info,umpire,Gazi Sohel
info,umpire,Shivani Mishra
info,reserve_umpire,L McCabe
info,match_referee,SM Bartlett
info,winner,Ireland
info,winner_wickets,9
info,player,Vanuatu,R Andrew
info,player,Vanuatu,V Langiatu
info,player,Vanuatu,N Navaika
info,player,Vanuatu,S Solman
info,player,Vanuatu,A Chilia
info,player,Vanuatu,M Carlot
info,player,Vanuatu,V Mansale
info,player,Vanuatu,L Chilia
info,player,Vanuatu,G Chilia
info,player,Vanuatu,V Vira
info,player,Vanuatu,M Tarimiala
info,player,Ireland,A Hunter
info,player,Ireland,GH Lewis
info,player,Ireland,O Prendergast
info,player,Ireland,L Delany
info,player,Ireland,R Stokell
info,player,Ireland,EAJ Richardson
info,player,Ireland,L Paul
info,player,Ireland,AN Kelly
info,player,Ireland,A Canning
info,player,Ireland,C Murray
info,player,Ireland,J Maguire
info,registry,people,A Canning,ffd5fcd8
info,registry,people,A Chilia,a0d07fd6
info,registry,people,A Hunter,e8fa03ed
info,registry,people,AN Kelly,397369e0
info,registry,people,C Murray,5a50471c
info,registry,people,EAJ Richardson,50ee0500
info,registry,people,G Chilia,daf255ce
info,registry,people,GH Lewis,1b9d1579
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,J Maguire,1b1c23bb
info,registry,people,L Chilia,87ac786c
info,registry,people,L Delany,b4f73b44
info,registry,people,L McCabe,1dbc4a64
info,registry,people,L Paul,07248d8e
info,registry,people,M Carlot,dac46b52
info,registry,people,M Tarimiala,0030a57d
info,registry,people,N Navaika,b0023708
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,R Andrew,66c1accf
info,registry,people,R Stokell,def7b1bb
info,registry,people,S Solman,24ed1f75
info,registry,people,SM Bartlett,7ba18406
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,V Langiatu,fdd18ca0
info,registry,people,V Mansale,7163637f
info,registry,people,V Vira,94271647
ball,1,0.1,Vanuatu,R Andrew,V Langiatu,A Canning,4,0,,,,,,"",""
ball,1,0.2,Vanuatu,R Andrew,V Langiatu,A Canning,0,0,,,,,,"",""
ball,1,0.3,Vanuatu,R Andrew,V Langiatu,A Canning,0,0,,,,,,"",""
ball,1,0.4,Vanuatu,R Andrew,V Langiatu,A Canning,0,0,,,,,,"",""
ball,1,0.5,Vanuatu,R Andrew,V Langiatu,A Canning,1,0,,,,,,"",""
ball,1,0.6,Vanuatu,V Langiatu,R Andrew,A Canning,0,0,,,,,,"",""
ball,1,1.1,Vanuatu,R Andrew,V Langiatu,O Prendergast,0,0,,,,,,"",""
ball,1,1.2,Vanuatu,R Andrew,V Langiatu,O Prendergast,0,0,,,,,,"",""
ball,1,1.3,Vanuatu,R Andrew,V Langiatu,O Prendergast,0,0,,,,,,"",""
ball,1,1.4,Vanuatu,R Andrew,V Langiatu,O Prendergast,0,0,,,,,,"",""
ball,1,1.5,Vanuatu,R Andrew,V Langiatu,O Prendergast,1,0,,,,,,"",""
ball,1,1.6,Vanuatu,V Langiatu,R Andrew,O Prendergast,0,1,1,,,,,"",""
ball,1,1.7,Vanuatu,V Langiatu,R Andrew,O Prendergast,0,0,,,,,,"",""
ball,1,2.1,Vanuatu,R Andrew,V Langiatu,A Canning,1,0,,,,,,"",""
ball,1,2.2,Vanuatu,V Langiatu,R Andrew,A Canning,0,0,,,,,,"",""
ball,1,2.3,Vanuatu,V Langiatu,R Andrew,A Canning,0,0,,,,,,"",""
ball,1,2.4,Vanuatu,V Langiatu,R Andrew,A Canning,1,0,,,,,,"",""
ball,1,2.5,Vanuatu,R Andrew,V Langiatu,A Canning,0,0,,,,,,"",""
ball,1,2.6,Vanuatu,R Andrew,V Langiatu,A Canning,0,0,,,,,,bowled,R Andrew
ball,1,3.1,Vanuatu,V Langiatu,N Navaika,O Prendergast,0,0,,,,,,"",""
ball,1,3.2,Vanuatu,V Langiatu,N Navaika,O Prendergast,0,0,,,,,,"",""
ball,1,3.3,Vanuatu,V Langiatu,N Navaika,O Prendergast,0,0,,,,,,"",""
ball,1,3.4,Vanuatu,V Langiatu,N Navaika,O Prendergast,4,0,,,,,,"",""
ball,1,3.5,Vanuatu,V Langiatu,N Navaika,O Prendergast,0,0,,,,,,"",""
ball,1,3.6,Vanuatu,V Langiatu,N Navaika,O Prendergast,0,1,1,,,,,"",""
ball,1,3.7,Vanuatu,V Langiatu,N Navaika,O Prendergast,0,0,,,,,,"",""
ball,1,4.1,Vanuatu,N Navaika,V Langiatu,A Canning,0,0,,,,,,"",""
ball,1,4.2,Vanuatu,N Navaika,V Langiatu,A Canning,0,0,,,,,,"",""
ball,1,4.3,Vanuatu,N Navaika,V Langiatu,A Canning,0,0,,,,,,"",""
ball,1,4.4,Vanuatu,N Navaika,V Langiatu,A Canning,0,1,1,,,,,"",""
ball,1,4.5,Vanuatu,N Navaika,V Langiatu,A Canning,0,1,1,,,,,"",""
ball,1,4.6,Vanuatu,N Navaika,V Langiatu,A Canning,0,0,,,,,,"",""
ball,1,4.7,Vanuatu,N Navaika,V Langiatu,A Canning,0,0,,,,,,"",""
ball,1,4.8,Vanuatu,N Navaika,V Langiatu,A Canning,0,0,,,,,,"",""
ball,1,5.1,Vanuatu,V Langiatu,N Navaika,O Prendergast,0,0,,,,,,"",""
ball,1,5.2,Vanuatu,V Langiatu,N Navaika,O Prendergast,0,0,,,,,,"",""
ball,1,5.3,Vanuatu,V Langiatu,N Navaika,O Prendergast,0,0,,,,,,"",""
ball,1,5.4,Vanuatu,V Langiatu,N Navaika,O Prendergast,4,0,,,,,,"",""
ball,1,5.5,Vanuatu,V Langiatu,N Navaika,O Prendergast,4,0,,,,,,"",""
ball,1,5.6,Vanuatu,V Langiatu,N Navaika,O Prendergast,0,0,,,,,,"",""
ball,1,6.1,Vanuatu,N Navaika,V Langiatu,J Maguire,0,0,,,,,,"",""
ball,1,6.2,Vanuatu,N Navaika,V Langiatu,J Maguire,0,0,,,,,,"",""
ball,1,6.3,Vanuatu,N Navaika,V Langiatu,J Maguire,4,0,,,,,,"",""
ball,1,6.4,Vanuatu,N Navaika,V Langiatu,J Maguire,0,0,,,,,,"",""
ball,1,6.5,Vanuatu,N Navaika,V Langiatu,J Maguire,0,0,,,,,,"",""
ball,1,6.6,Vanuatu,N Navaika,V Langiatu,J Maguire,0,0,,,,,,"",""
ball,1,7.1,Vanuatu,V Langiatu,N Navaika,C Murray,1,0,,,,,,"",""
ball,1,7.2,Vanuatu,N Navaika,V Langiatu,C Murray,1,0,,,,,,"",""
ball,1,7.3,Vanuatu,V Langiatu,N Navaika,C Murray,0,0,,,,,,"",""
ball,1,7.4,Vanuatu,V Langiatu,N Navaika,C Murray,2,0,,,,,,"",""
ball,1,7.5,Vanuatu,V Langiatu,N Navaika,C Murray,2,0,,,,,,"",""
ball,1,7.6,Vanuatu,V Langiatu,N Navaika,C Murray,1,1,,1,,,,"",""
ball,1,7.7,Vanuatu,N Navaika,V Langiatu,C Murray,1,0,,,,,,"",""
ball,1,8.1,Vanuatu,N Navaika,V Langiatu,J Maguire,0,0,,,,,,"",""
ball,1,8.2,Vanuatu,N Navaika,V Langiatu,J Maguire,4,0,,,,,,"",""
ball,1,8.3,Vanuatu,N Navaika,V Langiatu,J Maguire,0,0,,,,,,"",""
