version,1.7.0
info,balls_per_over,6
info,team,Tanzania
info,team,Rwanda
info,gender,male
info,season,2023/24
info,date,2023/11/29
info,event,ICC Men's T20 World Cup Africa Region Qualifier
info,match_number,17
info,venue,"Wanderers Cricket Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Rwanda
info,toss_decision,field
info,player_of_match,SA Jumbe
info,umpire,L Rusere
info,umpire,Stephen Harris
info,reserve_umpire,LB Gcuma
info,match_referee,GH Pienaar
info,winner,Tanzania
info,winner_runs,51
info,player,Tanzania,AR Patwa
info,player,Tanzania,II Selemani
info,player,Tanzania,MO Kitunda
info,player,Tanzania,AP Rajeevan
info,player,Tanzania,S Thakor
info,player,Tanzania,Akhil Anil
info,player,Tanzania,K Nassoro
info,player,Tanzania,SA Jumbe
info,player,Tanzania,AM Kimote
info,player,Tanzania,M Yunusu Issa
info,player,Tanzania,YM Nkanya
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,Hamza Khan
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,C Rububagumya
info,player,Rwanda,O Manishimwe
info,player,Rwanda,M Akayezu
info,player,Rwanda,E Sebareme
info,player,Rwanda,K Irakoze
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,Muhammad Nadir
info,registry,people,AM Kimote,34e36b65
info,registry,people,AP Rajeevan,63d6f031
info,registry,people,AR Patwa,b43f7a6a
info,registry,people,Akhil Anil,c06c25fd
info,registry,people,C Rububagumya,8088632c
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Sebareme,f99a219a
info,registry,people,GH Pienaar,3516e46b
info,registry,people,Hamza Khan,44a5f2b2
info,registry,people,II Selemani,b2dadc51
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,K Nassoro,29ee9bf9
info,registry,people,L Rusere,6a4734ae
info,registry,people,LB Gcuma,02ba88e3
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,M Yunusu Issa,bbab35a3
info,registry,people,MO Kitunda,badef0dc
info,registry,people,Muhammad Nadir,090f96e4
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,S Thakor,0848ac5f
info,registry,people,SA Jumbe,91056862
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,YM Nkanya,9238dd92
info,registry,people,Z Bimenyimana,ba57fb08
ball,1,0.1,Tanzania,AR Patwa,II Selemani,Muhammad Nadir,0,0,,,,,,"",""
ball,1,0.2,Tanzania,AR Patwa,II Selemani,Muhammad Nadir,2,0,,,,,,"",""
ball,1,0.3,Tanzania,AR Patwa,II Selemani,Muhammad Nadir,1,0,,,,,,"",""
ball,1,0.4,Tanzania,II Selemani,AR Patwa,Muhammad Nadir,0,0,,,,,,"",""
ball,1,0.5,Tanzania,II Selemani,AR Patwa,Muhammad Nadir,0,0,,,,,,"",""
ball,1,0.6,Tanzania,II Selemani,AR Patwa,Muhammad Nadir,0,0,,,,,,"",""
ball,1,1.1,Tanzania,AR Patwa,II Selemani,Z Bimenyimana,0,0,,,,,,"",""
ball,1,1.2,Tanzania,AR Patwa,II Selemani,Z Bimenyimana,0,1,1,,,,,"",""
ball,1,1.3,Tanzania,AR Patwa,II Selemani,Z Bimenyimana,1,0,,,,,,"",""
ball,1,1.4,Tanzania,II Selemani,AR Patwa,Z Bimenyimana,0,0,,,,,,"",""
ball,1,1.5,Tanzania,II Selemani,AR Patwa,Z Bimenyimana,0,0,,,,,,"",""
ball,1,1.6,Tanzania,II Selemani,AR Patwa,Z Bimenyimana,1,0,,,,,,"",""
ball,1,1.7,Tanzania,AR Patwa,II Selemani,Z Bimenyimana,0,0,,,,,,"",""
ball,1,2.1,Tanzania,II Selemani,AR Patwa,Muhammad Nadir,2,0,,,,,,"",""
ball,1,2.2,Tanzania,II Selemani,AR Patwa,Muhammad Nadir,0,0,,,,,,"",""
ball,1,2.3,Tanzania,II Selemani,AR Patwa,Muhammad Nadir,0,0,,,,,,"",""
ball,1,2.4,Tanzania,II Selemani,AR Patwa,Muhammad Nadir,2,0,,,,,,"",""
ball,1,2.5,Tanzania,II Selemani,AR Patwa,Muhammad Nadir,0,0,,,,,,lbw,II Selemani
ball,1,2.6,Tanzania,MO Kitunda,AR Patwa,Muhammad Nadir,0,0,,,,,,"",""
ball,1,3.1,Tanzania,AR Patwa,MO Kitunda,Z Bimenyimana,4,0,,,,,,"",""
ball,1,3.2,Tanzania,AR Patwa,MO Kitunda,Z Bimenyimana,4,0,,,,,,"",""
ball,1,3.3,Tanzania,AR Patwa,MO Kitunda,Z Bimenyimana,0,0,,,,,,"",""
ball,1,3.4,Tanzania,AR Patwa,MO Kitunda,Z Bimenyimana,2,0,,,,,,"",""
