version,1.7.0
info,balls_per_over,6
info,team,Ireland
info,team,Bangladesh
info,gender,female
info,season,2024/25
info,date,2024/12/05
info,event,Ireland Women tour of Bangladesh
info,match_number,1
info,venue,Sylhet Stadium
info,city,Sylhet
info,toss_winner,Ireland
info,toss_decision,bat
info,player_of_match,L Paul
info,umpire,Rokeya Sultana
info,umpire,S Redfern
info,reserve_umpire,Dolly Rani
info,tv_umpire,Shathira Jakir
info,match_referee,SR Das
info,winner,Ireland
info,winner_runs,12
info,player,Ireland,A Hunter
info,player,Ireland,GH Lewis
info,player,Ireland,O Prendergast
info,player,Ireland,L Paul
info,player,Ireland,L Delany
info,player,Ireland,U Raymond-Hoey
info,player,Ireland,S Forbes
info,player,Ireland,AN Kelly
info,player,Ireland,A Canning
info,player,Ireland,FA Sargent
info,player,Ireland,AK Maguire
info,player,Bangladesh,Dilara Akter
info,player,Bangladesh,S Mostary
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,Sharmin Akhter
info,player,Bangladesh,Taj Nehar
info,player,Bangladesh,Shorna Akter
info,player,Bangladesh,Ritu Moni
info,player,Bangladesh,Jannatul Ferdus
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Jahanara Alam
info,player,Bangladesh,Fariha Trisna
info,registry,people,A Canning,ffd5fcd8
info,registry,people,A Hunter,e8fa03ed
info,registry,people,AK Maguire,f888a374
info,registry,people,AN Kelly,397369e0
info,registry,people,Dilara Akter,f2670a3d
info,registry,people,Dolly Rani,2821c99e
info,registry,people,FA Sargent,fa6e2cb3
info,registry,people,Fariha Trisna,7b51bfa4
info,registry,people,GH Lewis,1b9d1579
info,registry,people,Jahanara Alam,752183c1
info,registry,people,Jannatul Ferdus,fa948618
info,registry,people,L Delany,b4f73b44
info,registry,people,L Paul,07248d8e
info,registry,people,Nahida Akter,66078174
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,Ritu Moni,ad3940a5
info,registry,people,Rokeya Sultana,20abf9b9
info,registry,people,S Forbes,5ecfab18
info,registry,people,S Mostary,94de63bf
info,registry,people,S Redfern,5b038989
info,registry,people,SR Das,f4e52218
info,registry,people,Sharmin Akhter,84fdd3cf
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,Shorna Akter,89895ae1
info,registry,people,Taj Nehar,426eaf06
info,registry,people,U Raymond-Hoey,1a510809
ball,1,0.1,Ireland,A Hunter,GH Lewis,Jahanara Alam,0,0,,,,,,"",""
ball,1,0.2,Ireland,A Hunter,GH Lewis,Jahanara Alam,0,0,,,,,,"",""
ball,1,0.3,Ireland,A Hunter,GH Lewis,Jahanara Alam,0,0,,,,,,"",""
ball,1,0.4,Ireland,A Hunter,GH Lewis,Jahanara Alam,1,0,,,,,,"",""
ball,1,0.5,Ireland,GH Lewis,A Hunter,Jahanara Alam,2,0,,,,,,"",""
ball,1,0.6,Ireland,GH Lewis,A Hunter,Jahanara Alam,0,0,,,,,,"",""
ball,1,1.1,Ireland,A Hunter,GH Lewis,Fariha Trisna,2,0,,,,,,"",""
ball,1,1.2,Ireland,A Hunter,GH Lewis,Fariha Trisna,2,0,,,,,,"",""
ball,1,1.3,Ireland,A Hunter,GH Lewis,Fariha Trisna,0,0,,,,,,"",""
ball,1,1.4,Ireland,A Hunter,GH Lewis,Fariha Trisna,0,4,,,4,,,"",""
ball,1,1.5,Ireland,A Hunter,GH Lewis,Fariha Trisna,1,0,,,,,,"",""
ball,1,1.6,Ireland,GH Lewis,A Hunter,Fariha Trisna,0,0,,,,,,"",""
ball,1,2.1,Ireland,A Hunter,GH Lewis,Jahanara Alam,0,0,,,,,,"",""
ball,1,2.2,Ireland,A Hunter,GH Lewis,Jahanara Alam,0,0,,,,,,"",""
ball,1,2.3,Ireland,A Hunter,GH Lewis,Jahanara Alam,4,0,,,,,,"",""
ball,1,2.4,Ireland,A Hunter,GH Lewis,Jahanara Alam,0,0,,,,,,bowled,A Hunter
ball,1,2.5,Ireland,O Prendergast,GH Lewis,Jahanara Alam,0,0,,,,,,"",""
ball,1,2.6,Ireland,O Prendergast,GH Lewis,Jahanara Alam,1,0,,,,,,"",""
ball,1,3.1,Ireland,O Prendergast,GH Lewis,Jannatul Ferdus,0,0,,,,,,"",""
ball,1,3.2,Ireland,O Prendergast,GH Lewis,Jannatul Ferdus,0,0,,,,,,"",""
ball,1,3.3,Ireland,O Prendergast,GH Lewis,Jannatul Ferdus,0,0,,,,,,"",""
ball,1,3.4,Ireland,O Prendergast,GH Lewis,Jannatul Ferdus,0,0,,,,,,"",""
ball,1,3.5,Ireland,O Prendergast,GH Lewis,Jannatul Ferdus,0,0,,,,,,"",""
ball,1,3.6,Ireland,O Prendergast,GH Lewis,Jannatul Ferdus,4,0,,,,,,"",""
