version,1.7.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Nepal
info,gender,female
info,season,2024
info,date,2024/07/19
info,event,Women's Asia Cup
info,match_number,1
info,venue,Rangiri Dambulla International Stadium
info,city,Dambulla
info,toss_winner,Nepal
info,toss_decision,field
info,player_of_match,Samjhana Khadka
info,umpire,Gayathri Venugopal
info,umpire,Saleema Imtiaz
info,reserve_umpire,Nur Hijrah
info,tv_umpire,VG Rathi
info,match_referee,GS Lakshmi
info,winner,Nepal
info,winner_wickets,6
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,Khushi Sharma
info,player,United Arab Emirates,H Hotchandani
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,Rithika Rajith
info,player,United Arab Emirates,L Keny
info,player,United Arab Emirates,I Nandakumar
info,player,Nepal,Samjhana Khadka
info,player,Nepal,SR Magar
info,player,Nepal,K Kunwar
info,player,Nepal,I Barma
info,player,Nepal,RC Belbashi
info,player,Nepal,Puja Mahato
info,player,Nepal,K Joshi
info,player,Nepal,B Rawal
info,player,Nepal,K Shrestha
info,player,Nepal,K Marasini
info,player,Nepal,Sabnam Rai
info,registry,people,B Rawal,4d1cc284
info,registry,people,ER Oza,fdc6b34d
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,Gayathri Venugopal,20e3ae99
info,registry,people,H Hotchandani,f537d39c
info,registry,people,I Barma,521abce2
info,registry,people,I Nandakumar,9f87d0f0
info,registry,people,K Joshi,0cd297b9
info,registry,people,K Kunwar,97e6e41a
info,registry,people,K Marasini,ac5003f9
info,registry,people,K Shrestha,119de50f
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,Khushi Sharma,a259c414
info,registry,people,L Keny,aea89d48
info,registry,people,Nur Hijrah,6c068720
info,registry,people,Puja Mahato,4b95058b
info,registry,people,RC Belbashi,dfdaca74
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,Rithika Rajith,dccab4f3
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,SR Magar,61c22ad0
info,registry,people,Sabnam Rai,8eb52953
info,registry,people,Saleema Imtiaz,d17d21d5
info,registry,people,Samjhana Khadka,765a2354
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,VG Rathi,144e5b16
info,registry,people,Vaishnave Mahesh,31c56f40
ball,1,0.1,United Arab Emirates,ER Oza,Theertha Satish,K Kunwar,0,0,,,,,,"",""
ball,1,0.2,United Arab Emirates,ER Oza,Theertha Satish,K Kunwar,0,0,,,,,,"",""
ball,1,0.3,United Arab Emirates,ER Oza,Theertha Satish,K Kunwar,1,0,,,,,,"",""
ball,1,0.4,United Arab Emirates,Theertha Satish,ER Oza,K Kunwar,0,0,,,,,,"",""
ball,1,0.5,United Arab Emirates,Theertha Satish,ER Oza,K Kunwar,1,0,,,,,,"",""
ball,1,0.6,United Arab Emirates,ER Oza,Theertha Satish,K Kunwar,1,0,,,,,,"",""
ball,1,1.1,United Arab Emirates,ER Oza,Theertha Satish,Sabnam Rai,0,0,,,,,,"",""
ball,1,1.2,United Arab Emirates,ER Oza,Theertha Satish,Sabnam Rai,4,0,,,,,,"",""
ball,1,1.3,United Arab Emirates,ER Oza,Theertha Satish,Sabnam Rai,4,0,,,,,,"",""
ball,1,1.4,United Arab Emirates,ER Oza,Theertha Satish,Sabnam Rai,0,0,,,,,,"",""
ball,1,1.5,United Arab Emirates,ER Oza,Theertha Satish,Sabnam Rai,0,0,,,,,,run out,ER Oza
ball,1,1.6,United Arab Emirates,Rinitha Rajith,Theertha Satish,Sabnam Rai,1,0,,,,,,"",""
ball,1,2.1,United Arab Emirates,Rinitha Rajith,Theertha Satish,K Kunwar,4,0,,,,,,"",""
ball,1,2.2,United Arab Emirates,Rinitha Rajith,Theertha Satish,K Kunwar,1,0,,,,,,"",""
ball,1,2.3,United Arab Emirates,Theertha Satish,Rinitha Rajith,K Kunwar,0,0,,,,,,"",""
ball,1,2.4,United Arab Emirates,Theertha Satish,Rinitha Rajith,K Kunwar,4,0,,,,,,"",""
ball,1,2.5,United Arab Emirates,Theertha Satish,Rinitha Rajith,K Kunwar,0,0,,,,,,"",""
ball,1,2.6,United Arab Emirates,Theertha Satish,Rinitha Rajith,K Kunwar,0,0,,,,,,"",""
ball,1,3.1,United Arab Emirates,Rinitha Rajith,Theertha Satish,Sabnam Rai,0,0,,,,,,bowled,Rinitha Rajith
ball,1,3.2,United Arab Emirates,S Dharnidharka,Theertha Satish,Sabnam Rai,0,0,,,,,,"",""
ball,1,3.3,United Arab Emirates,S Dharnidharka,Theertha Satish,Sabnam Rai,0,0,,,,,,"",""
ball,1,3.4,United Arab Emirates,S Dharnidharka,Theertha Satish,Sabnam Rai,4,0,,,,,,"",""
ball,1,3.5,United Arab Emirates,S Dharnidharka,Theertha Satish,Sabnam Rai,2,0,,,,,,"",""
ball,1,3.6,United Arab Emirates,S Dharnidharka,Theertha Satish,Sabnam Rai,0,0,,,,,,"",""
ball,1,4.1,United Arab Emirates,Theertha Satish,S Dharnidharka,RC Belbashi,1,0,,,,,,"",""
ball,1,4.2,United Arab Emirates,S Dharnidharka,Theertha Satish,RC Belbashi,1,0,,,,,,"",""
ball,1,4.3,United Arab Emirates,Theertha Satish,S Dharnidharka,RC Belbashi,0,0,,,,,,"",""
ball,1,4.4,United Arab Emirates,Theertha Satish,S Dharnidharka,RC Belbashi,1,0,,,,,,"",""
ball,1,4.5,United Arab Emirates,S Dharnidharka,Theertha Satish,RC Belbashi,4,0,,,,,,"",""
ball,1,4.6,United Arab Emirates,S Dharnidharka,Theertha Satish,RC Belbashi,0,0,,,,,,"",""
ball,1,5.1,United Arab Emirates,Theertha Satish,S Dharnidharka,I Barma,0,0,,,,,,"",""
ball,1,5.2,United Arab Emirates,Theertha Satish,S Dharnidharka,I Barma,2,0,,,,,,"",""
ball,1,5.3,United Arab Emirates,Theertha Satish,S Dharnidharka,I Barma,0,0,,,,,,caught and bowled,Theertha Satish
ball,1,5.4,United Arab Emirates,KKN Egodage,S Dharnidharka,I Barma,1,0,,,,,,"",""
ball,1,5.5,United Arab Emirates,S Dharnidharka,KKN Egodage,I Barma,1,0,,,,,,"",""
ball,1,5.6,United Arab Emirates,KKN Egodage,S Dharnidharka,I Barma,0,0,,,,,,"",""
ball,1,6.1,United Arab Emirates,S Dharnidharka,KKN Egodage,K Joshi,1,0,,,,,,"",""
ball,1,6.2,United Arab Emirates,KKN Egodage,S Dharnidharka,K Joshi,4,0,,,,,,"",""
ball,1,6.3,United Arab Emirates,KKN Egodage,S Dharnidharka,K Joshi,0,0,,,,,,"",""
ball,1,6.4,United Arab Emirates,KKN Egodage,S Dharnidharka,K Joshi,0,0,,,,,,"",""
ball,1,6.5,United Arab Emirates,KKN Egodage,S Dharnidharka,K Joshi,1,0,,,,,,"",""
ball,1,6.6,United Arab Emirates,S Dharnidharka,KKN Egodage,K Joshi,0,1,1,,,,,"",""
ball,1,6.7,United Arab Emirates,S Dharnidharka,KKN Egodage,K Joshi,0,0,,,,,,"",""
ball,1,7.1,United Arab Emirates,KKN Egodage,S Dharnidharka,I Barma,1,0,,,,,,"",""
ball,1,7.2,United Arab Emirates,S Dharnidharka,KKN Egodage,I Barma,0,0,,,,,,caught,S Dharnidharka
