version,1.7.0
info,balls_per_over,6
info,team,Scotland
info,team,Denmark
info,gender,male
info,season,2023
info,date,2023/07/27
info,event,ICC Men's T20 World Cup Europe Region Qualifier
info,match_number,16
info,venue,"Grange Cricket Club Ground, Raeburn Place, Edinburgh"
info,city,Edinburgh
info,toss_winner,Denmark
info,toss_decision,field
info,player_of_match,RD Berrington
info,umpire,DH Mclean
info,umpire,R Black
info,reserve_umpire,N Bathi
info,match_referee,Phil Whitticase
info,winner,Scotland
info,winner_runs,33
info,player,Scotland,HG Munsey
info,player,Scotland,OJ Hairs
info,player,Scotland,BJ McMullen
info,player,Scotland,RD Berrington
info,player,Scotland,TSS Mackintosh
info,player,Scotland,MA Leask
info,player,Scotland,CN Greaves
info,player,Scotland,MRJ Watt
info,player,Scotland,SM Sharif
info,player,Scotland,GT Main
info,player,Scotland,BJ Currie
info,player,Denmark,ND Laegsgaard
info,player,Denmark,HAM Shah
info,player,Denmark,T Bharaj
info,player,Denmark,SA Ahmad
info,player,Denmark,S Thanikaithasan
info,player,Denmark,Musa Shaheen
info,player,Denmark,Surya Anand
info,player,Denmark,Abdul Hashim
info,player,Denmark,Lucky Ali
info,player,Denmark,Saud Munir
info,player,Denmark,Abdullah Mahmood
info,registry,people,Abdul Hashim,73b1db79
info,registry,people,Abdullah Mahmood,926c6d3c
info,registry,people,BJ Currie,2ecd844a
info,registry,people,BJ McMullen,436c763a
info,registry,people,CN Greaves,f42064d5
info,registry,people,DH Mclean,281d4749
info,registry,people,GT Main,4ebc70ca
info,registry,people,HAM Shah,007113d7
info,registry,people,HG Munsey,ff014c34
info,registry,people,Lucky Ali,28b032ac
info,registry,people,MA Leask,28131839
info,registry,people,MRJ Watt,1252f71a
info,registry,people,Musa Shaheen,6709b2de
info,registry,people,N Bathi,96a0edf9
info,registry,people,ND Laegsgaard,b0f2d3bd
info,registry,people,OJ Hairs,c8a7b014
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,R Black,156c8fb1
info,registry,people,RD Berrington,e21bc7f3
info,registry,people,S Thanikaithasan,498aacac
info,registry,people,SA Ahmad,8de618ab
info,registry,people,SM Sharif,f43dd8c2
info,registry,people,Saud Munir,5902f2eb
info,registry,people,Surya Anand,ef141f36
info,registry,people,T Bharaj,49556abb
info,registry,people,TSS Mackintosh,f5ef7ac3
ball,1,0.1,Scotland,HG Munsey,OJ Hairs,SA Ahmad,0,0,,,,,,"",""
ball,1,0.2,Scotland,HG Munsey,OJ Hairs,SA Ahmad,0,0,,,,,,"",""
ball,1,0.3,Scotland,HG Munsey,OJ Hairs,SA Ahmad,0,0,,,,,,"",""
ball,1,0.4,Scotland,HG Munsey,OJ Hairs,SA Ahmad,0,0,,,,,,"",""
ball,1,0.5,Scotland,HG Munsey,OJ Hairs,SA Ahmad,0,0,,,,,,"",""
ball,1,0.6,Scotland,HG Munsey,OJ Hairs,SA Ahmad,0,0,,,,,,"",""
ball,1,1.1,Scotland,OJ Hairs,HG Munsey,Surya Anand,0,0,,,,,,"",""
ball,1,1.2,Scotland,OJ Hairs,HG Munsey,Surya Anand,1,0,,,,,,"",""
ball,1,1.3,Scotland,HG Munsey,OJ Hairs,Surya Anand,0,1,1,,,,,"",""
ball,1,1.4,Scotland,HG Munsey,OJ Hairs,Surya Anand,0,0,,,,,,"",""
ball,1,1.5,Scotland,HG Munsey,OJ Hairs,Surya Anand,0,0,,,,,,"",""
ball,1,1.6,Scotland,HG Munsey,OJ Hairs,Surya Anand,0,0,,,,,,"",""
ball,1,1.7,Scotland,HG Munsey,OJ Hairs,Surya Anand,1,0,,,,,,"",""
ball,1,2.1,Scotland,HG Munsey,OJ Hairs,SA Ahmad,1,0,,,,,,"",""
ball,1,2.2,Scotland,OJ Hairs,HG Munsey,SA Ahmad,0,0,,,,,,"",""
ball,1,2.3,Scotland,OJ Hairs,HG Munsey,SA Ahmad,0,0,,,,,,"",""
ball,1,2.4,Scotland,OJ Hairs,HG Munsey,SA Ahmad,6,0,,,,,,"",""
ball,1,2.5,Scotland,OJ Hairs,HG Munsey,SA Ahmad,6,0,,,,,,"",""
ball,1,2.6,Scotland,OJ Hairs,HG Munsey,SA Ahmad,4,0,,,,,,"",""
ball,1,3.1,Scotland,HG Munsey,OJ Hairs,Surya Anand,0,0,,,,,,"",""
ball,1,3.2,Scotland,HG Munsey,OJ Hairs,Surya Anand,0,0,,,,,,"",""
ball,1,3.3,Scotland,HG Munsey,OJ Hairs,Surya Anand,0,0,,,,,,"",""
ball,1,3.4,Scotland,HG Munsey,OJ Hairs,Surya Anand,0,0,,,,,,"",""
