version,1.7.0
info,balls_per_over,6
info,team,Zimbabwe
info,team,Ireland
info,gender,male
info,season,2022/23
info,date,2023/01/14
info,event,Ireland tour of Zimbabwe
info,match_number,2
info,venue,Harare Sports Club
info,city,Harare
info,toss_winner,Ireland
info,toss_decision,field
info,player_of_match,GR Adair
info,umpire,C Phiri
info,umpire,I Chabi
info,reserve_umpire,F Mutizwa
info,tv_umpire,L Rusere
info,match_referee,AJ Pycroft
info,winner,Ireland
info,winner_wickets,6
info,player,Zimbabwe,T Marumani
info,player,Zimbabwe,I Kaia
info,player,Zimbabwe,CR Ervine
info,player,Zimbabwe,W Madhevere
info,player,Zimbabwe,SC Williams
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,C Madande
info,player,Zimbabwe,B Evans
info,player,Zimbabwe,WP Masakadza
info,player,Zimbabwe,R Ngarava
info,player,Zimbabwe,TL Chatara
info,player,Ireland,A Balbirnie
info,player,Ireland,GR Adair
info,player,Ireland,ST Doheny
info,player,Ireland,HT Tector
info,player,Ireland,GH Dockrell
info,player,Ireland,C Campher
info,player,Ireland,TE Kane
info,player,Ireland,GJ Delany
info,player,Ireland,F Hand
info,player,Ireland,MR Adair
info,player,Ireland,GI Hume
info,registry,people,A Balbirnie,6ef13460
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,B Evans,e7e86505
info,registry,people,C Campher,478a63e7
info,registry,people,C Madande,3560a786
info,registry,people,C Phiri,ade73404
info,registry,people,CR Ervine,c96311d4
info,registry,people,F Hand,e3fe4b49
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,GI Hume,25550d06
info,registry,people,GJ Delany,33b3d2df
info,registry,people,GR Adair,4ec96094
info,registry,people,HT Tector,59ea70a4
info,registry,people,I Chabi,5e39110e
info,registry,people,I Kaia,5ad8c974
info,registry,people,L Rusere,6a4734ae
info,registry,people,MR Adair,fc55ec67
info,registry,people,R Ngarava,6e3f5a5c
info,registry,people,RP Burl,b08252b8
info,registry,people,SC Williams,afe57f7a
info,registry,people,ST Doheny,4992d6f6
info,registry,people,T Marumani,3d5d51a5
info,registry,people,TE Kane,af28816c
info,registry,people,TL Chatara,5bbabe59
info,registry,people,W Madhevere,a879b92c
info,registry,people,WP Masakadza,4bc0a378
ball,1,0.1,Zimbabwe,T Marumani,I Kaia,HT Tector,0,0,,,,,,"",""
ball,1,0.2,Zimbabwe,T Marumani,I Kaia,HT Tector,0,4,,,4,,,"",""
ball,1,0.3,Zimbabwe,T Marumani,I Kaia,HT Tector,0,0,,,,,,"",""
ball,1,0.4,Zimbabwe,T Marumani,I Kaia,HT Tector,2,0,,,,,,"",""
ball,1,0.5,Zimbabwe,T Marumani,I Kaia,HT Tector,0,0,,,,,,caught,T Marumani
ball,1,0.6,Zimbabwe,CR Ervine,I Kaia,HT Tector,1,0,,,,,,"",""
ball,1,1.1,Zimbabwe,CR Ervine,I Kaia,MR Adair,2,0,,,,,,"",""
ball,1,1.2,Zimbabwe,CR Ervine,I Kaia,MR Adair,0,1,,,,1,,"",""
ball,1,1.3,Zimbabwe,I Kaia,CR Ervine,MR Adair,4,0,,,,,,"",""
ball,1,1.4,Zimbabwe,I Kaia,CR Ervine,MR Adair,0,1,,,,1,,"",""
ball,1,1.5,Zimbabwe,CR Ervine,I Kaia,MR Adair,4,0,,,,,,"",""
ball,1,1.6,Zimbabwe,CR Ervine,I Kaia,MR Adair,1,0,,,,,,"",""
ball,1,2.1,Zimbabwe,CR Ervine,I Kaia,GI Hume,1,0,,,,,,"",""
ball,1,2.2,Zimbabwe,I Kaia,CR Ervine,GI Hume,2,0,,,,,,"",""
ball,1,2.3,Zimbabwe,I Kaia,CR Ervine,GI Hume,1,0,,,,,,"",""
ball,1,2.4,Zimbabwe,CR Ervine,I Kaia,GI Hume,0,0,,,,,,"",""
ball,1,2.5,Zimbabwe,CR Ervine,I Kaia,GI Hume,0,0,,,,,,"",""
ball,1,2.6,Zimbabwe,CR Ervine,I Kaia,GI Hume,0,0,,,,,,"",""
ball,1,3.1,Zimbabwe,I Kaia,CR Ervine,F Hand,1,0,,,,,,"",""
ball,1,3.2,Zimbabwe,CR Ervine,I Kaia,F Hand,1,0,,,,,,"",""
ball,1,3.3,Zimbabwe,I Kaia,CR Ervine,F Hand,4,0,,,,,,"",""
ball,1,3.4,Zimbabwe,I Kaia,CR Ervine,F Hand,0,1,1,,,,,"",""
ball,1,3.5,Zimbabwe,I Kaia,CR Ervine,F Hand,0,1,,,,1,,"",""
