version,1.7.0
info,balls_per_over,6
info,team,New Zealand
info,team,Bangladesh
info,gender,female
info,season,2022/23
info,date,2023/02/17
info,event,ICC Women's T20 World Cup
info,match_number,12
info,venue,"Newlands, Cape Town"
info,city,Cape Town
info,toss_winner,New Zealand
info,toss_decision,bat
info,player_of_match,SW Bates
info,umpire,Lauren Agenbag
info,umpire,N Janani
info,reserve_umpire,Eloise Sheridan
info,tv_umpire,VG Rathi
info,match_referee,SA Fritz
info,winner,New Zealand
info,winner_runs,71
info,player,New Zealand,B Bezuidenhout
info,player,New Zealand,SW Bates
info,player,New Zealand,AC Kerr
info,player,New Zealand,SFM Devine
info,player,New Zealand,ML Green
info,player,New Zealand,GE Plimmer
info,player,New Zealand,HM Rowe
info,player,New Zealand,LMM Tahuhu
info,player,New Zealand,JM Kerr
info,player,New Zealand,MM Penfold
info,player,New Zealand,EJ Carson
info,player,Bangladesh,Shamima Sultana
info,player,Bangladesh,Murshida Khatun
info,player,Bangladesh,S Mostary
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,Shorna Akter
info,player,Bangladesh,Rumana Ahmed
info,player,Bangladesh,Ritu Moni
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Fahima Khatun
info,player,Bangladesh,Salma Khatun
info,player,Bangladesh,Marufa Akter
info,registry,people,AC Kerr,7673c908
info,registry,people,B Bezuidenhout,564afdcf
info,registry,people,EJ Carson,7693851c
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,Fahima Khatun,558cdd64
info,registry,people,GE Plimmer,575494db
info,registry,people,HM Rowe,8ca1f93a
info,registry,people,JM Kerr,9af58032
info,registry,people,LMM Tahuhu,60471339
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,ML Green,865eae1f
info,registry,people,MM Penfold,645b2a2f
info,registry,people,Marufa Akter,a50797a4
info,registry,people,Murshida Khatun,712bbd92
info,registry,people,N Janani,d06a665d
info,registry,people,Nahida Akter,66078174
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,Ritu Moni,ad3940a5
info,registry,people,Rumana Ahmed,a92763ea
info,registry,people,S Mostary,94de63bf
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SFM Devine,de69af96
info,registry,people,SW Bates,89bbc67a
info,registry,people,Salma Khatun,037f2b86
info,registry,people,Shamima Sultana,724645f5
info,registry,people,Shorna Akter,89895ae1
info,registry,people,VG Rathi,144e5b16
ball,1,0.1,New Zealand,B Bezuidenhout,SW Bates,Marufa Akter,4,0,,,,,,"",""
ball,1,0.2,New Zealand,B Bezuidenhout,SW Bates,Marufa Akter,0,0,,,,,,"",""
ball,1,0.3,New Zealand,B Bezuidenhout,SW Bates,Marufa Akter,1,0,,,,,,"",""
ball,1,0.4,New Zealand,SW Bates,B Bezuidenhout,Marufa Akter,1,0,,,,,,"",""
ball,1,0.5,New Zealand,B Bezuidenhout,SW Bates,Marufa Akter,1,0,,,,,,"",""
ball,1,0.6,New Zealand,SW Bates,B Bezuidenhout,Marufa Akter,0,0,,,,,,"",""
ball,1,1.1,New Zealand,B Bezuidenhout,SW Bates,Nahida Akter,2,0,,,,,,"",""
ball,1,1.2,New Zealand,B Bezuidenhout,SW Bates,Nahida Akter,2,0,,,,,,"",""
ball,1,1.3,New Zealand,B Bezuidenhout,SW Bates,Nahida Akter,0,0,,,,,,"",""
ball,1,1.4,New Zealand,B Bezuidenhout,SW Bates,Nahida Akter,1,0,,,,,,"",""
ball,1,1.5,New Zealand,SW Bates,B Bezuidenhout,Nahida Akter,1,0,,,,,,"",""
ball,1,1.6,New Zealand,B Bezuidenhout,SW Bates,Nahida Akter,0,0,,,,,,"",""
ball,1,2.1,New Zealand,SW Bates,B Bezuidenhout,Salma Khatun,1,0,,,,,,"",""
ball,1,2.2,New Zealand,B Bezuidenhout,SW Bates,Salma Khatun,2,0,,,,,,"",""
ball,1,2.3,New Zealand,B Bezuidenhout,SW Bates,Salma Khatun,2,0,,,,,,"",""
ball,1,2.4,New Zealand,B Bezuidenhout,SW Bates,Salma Khatun,4,0,,,,,,"",""
ball,1,2.5,New Zealand,B Bezuidenhout,SW Bates,Salma Khatun,1,0,,,,,,"",""
ball,1,2.6,New Zealand,SW Bates,B Bezuidenhout,Salma Khatun,1,0,,,,,,"",""
ball,1,3.1,New Zealand,SW Bates,B Bezuidenhout,Marufa Akter,0,0,,,,,,"",""
ball,1,3.2,New Zealand,SW Bates,B Bezuidenhout,Marufa Akter,1,0,,,,,,"",""
ball,1,3.3,New Zealand,B Bezuidenhout,SW Bates,Marufa Akter,1,0,,,,,,"",""
ball,1,3.4,New Zealand,SW Bates,B Bezuidenhout,Marufa Akter,0,0,,,,,,"",""
ball,1,3.5,New Zealand,SW Bates,B Bezuidenhout,Marufa Akter,4,0,,,,,,"",""
