version,1.7.0
info,balls_per_over,6
info,team,Gibraltar
info,team,Portugal
info,gender,male
info,season,2023
info,date,2023/05/06
info,event,Gibraltar Tri-Nation T20I Series
info,match_number,6
info,venue,Europa Sports Complex
info,city,Gibraltar
info,toss_winner,Gibraltar
info,toss_decision,bat
info,player_of_match,Kuldeep
info,winner,Portugal
info,winner_wickets,9
info,player,Gibraltar,BA Pai
info,player,Gibraltar,L Bruce
info,player,Gibraltar,J West
info,player,Gibraltar,IDM Latin
info,player,Gibraltar,KJ Stagno
info,player,Gibraltar,BAA Zammitt
info,player,Gibraltar,K Nestor
info,player,Gibraltar,JA Fitzgerald
info,player,Gibraltar,K Mirpuri
info,player,Gibraltar,A Reyes
info,player,Gibraltar,J Horrocks
info,player,Portugal,Kuldeep
info,player,Portugal,ARA Chambers
info,player,Portugal,M Machado
info,player,Portugal,Sirajullah Khadim
info,player,Portugal,Zohaib Sarwar
info,player,Portugal,Suman Ghimire
info,player,Portugal,Najjam Shahzad
info,player,Portugal,F Stoman
info,player,Portugal,Amir Zaib
info,player,Portugal,Junaid Khan
info,player,Portugal,Assad Mehmood
info,registry,people,A Reyes,fd2b8c06
info,registry,people,ARA Chambers,8db27a28
info,registry,people,Amir Zaib,973006cc
info,registry,people,Assad Mehmood,71b1e668
info,registry,people,BA Pai,716bf559
info,registry,people,BAA Zammitt,0e102c3b
info,registry,people,F Stoman,69e53eb3
info,registry,people,IDM Latin,78f719ea
info,registry,people,J Horrocks,1c8cd1c3
info,registry,people,J West,1d1c6410
info,registry,people,JA Fitzgerald,4e6ff836
info,registry,people,Junaid Khan,be0077ba
info,registry,people,K Mirpuri,441006af
info,registry,people,K Nestor,b89cde87
info,registry,people,KJ Stagno,46ad7e01
info,registry,people,Kuldeep,61c48027
info,registry,people,L Bruce,2a03bd2f
info,registry,people,M Machado,fd34bcb0
info,registry,people,Najjam Shahzad,58aa33cd
info,registry,people,Sirajullah Khadim,ff36e706
info,registry,people,Suman Ghimire,7d990412
info,registry,people,Zohaib Sarwar,bd3cecc6
ball,1,0.1,Gibraltar,BA Pai,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,0.2,Gibraltar,BA Pai,L Bruce,Junaid Khan,1,0,,,,,,"",""
ball,1,0.3,Gibraltar,L Bruce,BA Pai,Junaid Khan,0,0,,,,,,"",""
ball,1,0.4,Gibraltar,L Bruce,BA Pai,Junaid Khan,4,0,,,,,,"",""
ball,1,0.5,Gibraltar,L Bruce,BA Pai,Junaid Khan,1,0,,,,,,"",""
ball,1,0.6,Gibraltar,BA Pai,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,1.1,Gibraltar,L Bruce,BA Pai,Najjam Shahzad,4,1,,1,,,,"",""
ball,1,1.2,Gibraltar,L Bruce,BA Pai,Najjam Shahzad,4,0,,,,,,"",""
ball,1,1.3,Gibraltar,L Bruce,BA Pai,Najjam Shahzad,0,0,,,,,,"",""
ball,1,1.4,Gibraltar,L Bruce,BA Pai,Najjam Shahzad,4,0,,,,,,"",""
ball,1,1.5,Gibraltar,L Bruce,BA Pai,Najjam Shahzad,0,0,,,,,,"",""
ball,1,1.6,Gibraltar,L Bruce,BA Pai,Najjam Shahzad,4,0,,,,,,"",""
ball,1,1.7,Gibraltar,L Bruce,BA Pai,Najjam Shahzad,0,0,,,,,,"",""
ball,1,2.1,Gibraltar,BA Pai,L Bruce,Junaid Khan,1,0,,,,,,"",""
ball,1,2.2,Gibraltar,L Bruce,BA Pai,Junaid Khan,0,0,,,,,,"",""
ball,1,2.3,Gibraltar,L Bruce,BA Pai,Junaid Khan,1,0,,,,,,"",""
ball,1,2.4,Gibraltar,BA Pai,L Bruce,Junaid Khan,0,1,1,,,,,"",""
ball,1,2.5,Gibraltar,BA Pai,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,2.6,Gibraltar,BA Pai,L Bruce,Junaid Khan,1,0,,,,,,"",""
ball,1,2.7,Gibraltar,L Bruce,BA Pai,Junaid Khan,0,0,,,,,,"",""
ball,1,3.1,Gibraltar,BA Pai,L Bruce,Najjam Shahzad,0,1,1,,,,,"",""
ball,1,3.2,Gibraltar,BA Pai,L Bruce,Najjam Shahzad,0,0,,,,,,run out,L Bruce
ball,1,3.3,Gibraltar,BA Pai,J West,Najjam Shahzad,1,0,,,,,,"",""
ball,1,3.4,Gibraltar,J West,BA Pai,Najjam Shahzad,0,0,,,,,,"",""
ball,1,3.5,Gibraltar,J West,BA Pai,Najjam Shahzad,2,0,,,,,,"",""
ball,1,3.6,Gibraltar,J West,BA Pai,Najjam Shahzad,0,0,,,,,,"",""
ball,1,3.7,Gibraltar,J West,BA Pai,Najjam Shahzad,0,1,1,,,,,"",""
ball,1,3.8,Gibraltar,J West,BA Pai,Najjam Shahzad,0,1,,,,1,,"",""
ball,1,4.1,Gibraltar,J West,BA Pai,Junaid Khan,0,0,,,,,,"",""
ball,1,4.2,Gibraltar,J West,BA Pai,Junaid Khan,1,0,,,,,,"",""
ball,1,4.3,Gibraltar,BA Pai,J West,Junaid Khan,0,0,,,,,,"",""
ball,1,4.4,Gibraltar,BA Pai,J West,Junaid Khan,1,0,,,,,,"",""
ball,1,4.5,Gibraltar,J West,BA Pai,Junaid Khan,0,0,,,,,,"",""
ball,1,4.6,Gibraltar,J West,BA Pai,Junaid Khan,0,1,,,,1,,"",""
ball,1,5.1,Gibraltar,J West,BA Pai,Najjam Shahzad,0,0,,,,,,"",""
ball,1,5.2,Gibraltar,J West,BA Pai,Najjam Shahzad,1,0,,,,,,"",""
ball,1,5.3,Gibraltar,BA Pai,J West,Najjam Shahzad,1,0,,,,,,"",""
ball,1,5.4,Gibraltar,J West,BA Pai,Najjam Shahzad,0,0,,,,,,"",""
ball,1,5.5,Gibraltar,J West,BA Pai,Najjam Shahzad,0,0,,,,,,"",""
ball,1,5.6,Gibraltar,J West,BA Pai,Najjam Shahzad,1,0,,,,,,"",""
ball,1,6.1,Gibraltar,J West,BA Pai,Assad Mehmood,0,0,,,,,,"",""
ball,1,6.2,Gibraltar,J West,BA Pai,Assad Mehmood,2,0,,,,,,"",""
ball,1,6.3,Gibraltar,J West,BA Pai,Assad Mehmood,1,0,,,,,,"",""
