version,1.7.0
info,balls_per_over,6
info,team,Nepal
info,team,Netherlands
info,gender,male
info,season,2024
info,date,2024/06/04
info,event,ICC Men's T20 World Cup
info,match_number,7
info,venue,"Grand Prairie Stadium, Dallas"
info,city,Dallas
info,toss_winner,Netherlands
info,toss_decision,field
info,player_of_match,TJG Pringle
info,umpire,L Rusere
info,umpire,RJ Tucker
info,reserve_umpire,RK Illingworth
info,tv_umpire,Sharfuddoula
info,match_referee,RB Richardson
info,winner,Netherlands
info,winner_wickets,6
info,player,Nepal,K Bhurtel
info,player,Nepal,Aasif Sheikh
info,player,Nepal,AK Sah
info,player,Nepal,RK Paudel
info,player,Nepal,Kushal Malla
info,player,Nepal,DS Airee
info,player,Nepal,Sompal Kami
info,player,Nepal,Gulsan Jha
info,player,Nepal,Karan KC
info,player,Nepal,S Dhakal
info,player,Nepal,A Bohara
info,player,Netherlands,M Levitt
info,player,Netherlands,MP O'Dowd
info,player,Netherlands,Vikramjit Singh
info,player,Netherlands,SA Engelbrecht
info,player,Netherlands,SA Edwards
info,player,Netherlands,BFW de Leede
info,player,Netherlands,AT Nidamanuru
info,player,Netherlands,LV van Beek
info,player,Netherlands,TJG Pringle
info,player,Netherlands,PA van Meekeren
info,player,Netherlands,VJ Kingma
info,registry,people,A Bohara,64fb6b15
info,registry,people,AK Sah,5b1d6583
info,registry,people,AT Nidamanuru,a319edf8
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,BFW de Leede,fc4375ef
info,registry,people,DS Airee,1747ea18
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,Karan KC,f53b3e1d
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,L Rusere,6a4734ae
info,registry,people,LV van Beek,782fb776
info,registry,people,M Levitt,6a71ba3a
info,registry,people,MP O'Dowd,b699df47
info,registry,people,PA van Meekeren,4557dc54
info,registry,people,RB Richardson,410e2f12
info,registry,people,RJ Tucker,38810cfc
info,registry,people,RK Illingworth,20672246
info,registry,people,RK Paudel,1a3cc554
info,registry,people,S Dhakal,8955b928
info,registry,people,SA Edwards,b59db04f
info,registry,people,SA Engelbrecht,81a0e294
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,TJG Pringle,8ce2080b
info,registry,people,VJ Kingma,3a7ea906
info,registry,people,Vikramjit Singh,2a9eee66
ball,1,0.1,Nepal,K Bhurtel,Aasif Sheikh,VJ Kingma,0,0,,,,,,"",""
ball,1,0.2,Nepal,K Bhurtel,Aasif Sheikh,VJ Kingma,1,0,,,,,,"",""
ball,1,0.3,Nepal,Aasif Sheikh,K Bhurtel,VJ Kingma,0,0,,,,,,"",""
ball,1,0.4,Nepal,Aasif Sheikh,K Bhurtel,VJ Kingma,0,0,,,,,,"",""
ball,1,0.5,Nepal,Aasif Sheikh,K Bhurtel,VJ Kingma,0,0,,,,,,"",""
ball,1,0.6,Nepal,Aasif Sheikh,K Bhurtel,VJ Kingma,4,0,,,,,,"",""
ball,1,1.1,Nepal,K Bhurtel,Aasif Sheikh,TJG Pringle,4,0,,,,,,"",""
ball,1,1.2,Nepal,K Bhurtel,Aasif Sheikh,TJG Pringle,1,0,,,,,,"",""
ball,1,1.3,Nepal,Aasif Sheikh,K Bhurtel,TJG Pringle,0,0,,,,,,"",""
ball,1,1.4,Nepal,Aasif Sheikh,K Bhurtel,TJG Pringle,0,0,,,,,,"",""
ball,1,1.5,Nepal,Aasif Sheikh,K Bhurtel,TJG Pringle,0,0,,,,,,"",""
ball,1,1.6,Nepal,Aasif Sheikh,K Bhurtel,TJG Pringle,0,0,,,,,,caught,Aasif Sheikh
ball,1,2.1,Nepal,K Bhurtel,AK Sah,VJ Kingma,0,0,,,,,,"",""
ball,1,2.2,Nepal,K Bhurtel,AK Sah,VJ Kingma,0,0,,,,,,"",""
ball,1,2.3,Nepal,K Bhurtel,AK Sah,VJ Kingma,0,0,,,,,,"",""
ball,1,2.4,Nepal,K Bhurtel,AK Sah,VJ Kingma,0,0,,,,,,"",""
ball,1,2.5,Nepal,K Bhurtel,AK Sah,VJ Kingma,1,0,,,,,,"",""
ball,1,2.6,Nepal,AK Sah,K Bhurtel,VJ Kingma,4,0,,,,,,"",""
ball,1,3.1,Nepal,K Bhurtel,AK Sah,LV van Beek,0,0,,,,,,lbw,K Bhurtel
ball,1,3.2,Nepal,RK Paudel,AK Sah,LV van Beek,2,0,,,,,,"",""
ball,1,3.3,Nepal,RK Paudel,AK Sah,LV van Beek,0,0,,,,,,"",""
ball,1,3.4,Nepal,RK Paudel,AK Sah,LV van Beek,0,0,,,,,,"",""
ball,1,3.5,Nepal,RK Paudel,AK Sah,LV van Beek,0,0,,,,,,"",""
