version,1.7.0
info,balls_per_over,6
info,team,Malaysia
info,team,Namibia
info,gender,female
info,season,2024/25
info,date,2024/12/10
info,event,Namibia Women tour of Malaysia
info,match_number,1
info,venue,"Selangor Turf Club, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Namibia
info,toss_decision,field
info,player_of_match,S Tuhadeleni
info,umpire,N Sivan
info,umpire,V Kalidas
info,reserve_umpire,Rudy Ismandy
info,match_referee,Edwin Seah
info,winner,Namibia
info,winner_wickets,6
info,player,Malaysia,Wan Julia
info,player,Malaysia,Nur Dania Syuhada
info,player,Malaysia,Mahirah Izzati Ismail
info,player,Malaysia,WA Duraisingam
info,player,Malaysia,Ainna Hamizah Hashim
info,player,Malaysia,Aina Najwa
info,player,Malaysia,Nur Arianna Natsya
info,player,Malaysia,J Intan
info,player,Malaysia,Suabika Manivannan
info,player,Malaysia,Amalin Sorfina
info,player,Malaysia,Noor Hayati Zakaria
info,player,Namibia,SA Wittmann
info,player,Namibia,M Gorases
info,player,Namibia,W Mwatile
info,player,Namibia,E Van Zyl
info,player,Namibia,Yasmeen Khan
info,player,Namibia,JA Diergaardt
info,player,Namibia,M Mwatile
info,player,Namibia,SN Shihepo
info,player,Namibia,KA Green
info,player,Namibia,B Manuel
info,player,Namibia,S Tuhadeleni
info,registry,people,Aina Najwa,31453abb
info,registry,people,Ainna Hamizah Hashim,4c7744de
info,registry,people,Amalin Sorfina,734cded2
info,registry,people,B Manuel,06cbeba1
info,registry,people,E Van Zyl,79ff52b5
info,registry,people,Edwin Seah,be24f868
info,registry,people,J Intan,2dfdd316
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,KA Green,fa9fdefa
info,registry,people,M Gorases,d034d60a
info,registry,people,M Mwatile,92b9e9af
info,registry,people,Mahirah Izzati Ismail,b9b32e3c
info,registry,people,N Sivan,8f4a0102
info,registry,people,Noor Hayati Zakaria,31382975
info,registry,people,Nur Arianna Natsya,4db4c8be
info,registry,people,Nur Dania Syuhada,3af75717
info,registry,people,Rudy Ismandy,84682045
info,registry,people,S Tuhadeleni,13f7c5f4
info,registry,people,SA Wittmann,531aef3b
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,Suabika Manivannan,a044506e
info,registry,people,V Kalidas,42d76418
info,registry,people,W Mwatile,5728635a
info,registry,people,WA Duraisingam,7467fe01
info,registry,people,Wan Julia,bee0c85c
info,registry,people,Yasmeen Khan,ade5c0c0
ball,1,0.1,Malaysia,Wan Julia,Nur Dania Syuhada,W Mwatile,0,0,,,,,,"",""
ball,1,0.2,Malaysia,Wan Julia,Nur Dania Syuhada,W Mwatile,1,0,,,,,,"",""
ball,1,0.3,Malaysia,Nur Dania Syuhada,Wan Julia,W Mwatile,0,0,,,,,,"",""
ball,1,0.4,Malaysia,Nur Dania Syuhada,Wan Julia,W Mwatile,0,0,,,,,,"",""
ball,1,0.5,Malaysia,Nur Dania Syuhada,Wan Julia,W Mwatile,0,0,,,,,,"",""
ball,1,0.6,Malaysia,Nur Dania Syuhada,Wan Julia,W Mwatile,0,0,,,,,,"",""
ball,1,1.1,Malaysia,Wan Julia,Nur Dania Syuhada,S Tuhadeleni,1,0,,,,,,"",""
ball,1,1.2,Malaysia,Nur Dania Syuhada,Wan Julia,S Tuhadeleni,2,0,,,,,,"",""
ball,1,1.3,Malaysia,Nur Dania Syuhada,Wan Julia,S Tuhadeleni,0,0,,,,,,bowled,Nur Dania Syuhada
ball,1,1.4,Malaysia,Mahirah Izzati Ismail,Wan Julia,S Tuhadeleni,0,0,,,,,,"",""
ball,1,1.5,Malaysia,Mahirah Izzati Ismail,Wan Julia,S Tuhadeleni,1,0,,,,,,"",""
ball,1,1.6,Malaysia,Wan Julia,Mahirah Izzati Ismail,S Tuhadeleni,0,0,,,,,,"",""
ball,1,2.1,Malaysia,Mahirah Izzati Ismail,Wan Julia,W Mwatile,1,0,,,,,,"",""
ball,1,2.2,Malaysia,Wan Julia,Mahirah Izzati Ismail,W Mwatile,0,0,,,,,,"",""
ball,1,2.3,Malaysia,Wan Julia,Mahirah Izzati Ismail,W Mwatile,0,0,,,,,,caught,Wan Julia
ball,1,2.4,Malaysia,WA Duraisingam,Mahirah Izzati Ismail,W Mwatile,0,0,,,,,,"",""
ball,1,2.5,Malaysia,WA Duraisingam,Mahirah Izzati Ismail,W Mwatile,0,0,,,,,,"",""
ball,1,2.6,Malaysia,WA Duraisingam,Mahirah Izzati Ismail,W Mwatile,0,0,,,,,,"",""
ball,1,3.1,Malaysia,Mahirah Izzati Ismail,WA Duraisingam,S Tuhadeleni,0,0,,,,,,lbw,Mahirah Izzati Ismail
ball,1,3.2,Malaysia,Ainna Hamizah Hashim,WA Duraisingam,S Tuhadeleni,0,0,,,,,,"",""
ball,1,3.3,Malaysia,Ainna Hamizah Hashim,WA Duraisingam,S Tuhadeleni,0,0,,,,,,"",""
