version,1.7.0
info,balls_per_over,6
info,team,Bermuda
info,team,Argentina
info,gender,male
info,season,2022/23
info,date,2023/02/22
info,event,Bermuda tour of Argentina
info,match_number,2
info,venue,"Belgrano Athletic Club Ground, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Argentina
info,toss_decision,field
info,umpire,Emmerson Carrington
info,umpire,N Duguid
info,reserve_umpire,A Elliott
info,match_referee,Reon King
info,winner,Bermuda
info,winner_runs,107
info,player,Bermuda,KS Leverock
info,player,Bermuda,T Manders
info,player,Bermuda,TS Fray
info,player,Bermuda,DMW Rawlins
info,player,Bermuda,MO Jones
info,player,Bermuda,JE Pitcher
info,player,Bermuda,D Sabir
info,player,Bermuda,JDP Albertze
info,player,Bermuda,Z Burgess
info,player,Bermuda,DL Brangman
info,player,Bermuda,JDA Richardson
info,player,Argentina,P Baron
info,player,Argentina,R Escobar
info,player,Argentina,A Ferguson
info,player,Argentina,LA Musiani
info,player,Argentina,A Kirschbaum
info,player,Argentina,D Mauro
info,player,Argentina,P Arrighi
info,player,Argentina,H Fennell
info,player,Argentina,T Rossi
info,player,Argentina,A Mustafa
info,player,Argentina,AAP Rivero
info,registry,people,A Elliott,f48d5563
info,registry,people,A Ferguson,4a8d1b14
info,registry,people,A Kirschbaum,d953bf92
info,registry,people,A Mustafa,a4571ba9
info,registry,people,AAP Rivero,1911dcbc
info,registry,people,D Mauro,5f0f398d
info,registry,people,D Sabir,04bc296f
info,registry,people,DL Brangman,dab18aa5
info,registry,people,DMW Rawlins,f1eb3c73
info,registry,people,Emmerson Carrington,a428109a
info,registry,people,H Fennell,0d38ab25
info,registry,people,JDA Richardson,e8c00c13
info,registry,people,JDP Albertze,80782209
info,registry,people,JE Pitcher,ab126ea8
info,registry,people,KS Leverock,e1592949
info,registry,people,LA Musiani,efbd35a9
info,registry,people,MO Jones,0e0afd8b
info,registry,people,N Duguid,64495506
info,registry,people,P Arrighi,79e754db
info,registry,people,P Baron,c6d1b1e4
info,registry,people,R Escobar,9fa5496f
info,registry,people,Reon King,20fbf68c
info,registry,people,T Manders,6d2b9724
info,registry,people,T Rossi,5470418a
info,registry,people,TS Fray,c7537f8a
info,registry,people,Z Burgess,d0042e16
ball,1,0.1,Bermuda,KS Leverock,T Manders,A Kirschbaum,0,0,,,,,,"",""
ball,1,0.2,Bermuda,KS Leverock,T Manders,A Kirschbaum,0,0,,,,,,"",""
ball,1,0.3,Bermuda,KS Leverock,T Manders,A Kirschbaum,4,0,,,,,,"",""
ball,1,0.4,Bermuda,KS Leverock,T Manders,A Kirschbaum,1,0,,,,,,"",""
ball,1,0.5,Bermuda,T Manders,KS Leverock,A Kirschbaum,1,0,,,,,,"",""
ball,1,0.6,Bermuda,KS Leverock,T Manders,A Kirschbaum,0,0,,,,,,"",""
ball,1,1.1,Bermuda,T Manders,KS Leverock,H Fennell,1,0,,,,,,"",""
ball,1,1.2,Bermuda,KS Leverock,T Manders,H Fennell,0,0,,,,,,"",""
ball,1,1.3,Bermuda,KS Leverock,T Manders,H Fennell,1,0,,,,,,"",""
ball,1,1.4,Bermuda,T Manders,KS Leverock,H Fennell,3,0,,,,,,"",""
ball,1,1.5,Bermuda,KS Leverock,T Manders,H Fennell,4,0,,,,,,"",""
ball,1,1.6,Bermuda,KS Leverock,T Manders,H Fennell,0,0,,,,,,"",""
ball,1,2.1,Bermuda,T Manders,KS Leverock,P Arrighi,0,0,,,,,,"",""
ball,1,2.2,Bermuda,T Manders,KS Leverock,P Arrighi,2,0,,,,,,"",""
ball,1,2.3,Bermuda,T Manders,KS Leverock,P Arrighi,6,0,,,,,,"",""
ball,1,2.4,Bermuda,T Manders,KS Leverock,P Arrighi,1,0,,,,,,"",""
ball,1,2.5,Bermuda,KS Leverock,T Manders,P Arrighi,4,0,,,,,,"",""
ball,1,2.6,Bermuda,KS Leverock,T Manders,P Arrighi,1,0,,,,,,"",""
ball,1,3.1,Bermuda,KS Leverock,T Manders,H Fennell,1,0,,,,,,"",""
ball,1,3.2,Bermuda,T Manders,KS Leverock,H Fennell,0,1,1,,,,,"",""
ball,1,3.3,Bermuda,T Manders,KS Leverock,H Fennell,1,0,,,,,,"",""
ball,1,3.4,Bermuda,KS Leverock,T Manders,H Fennell,0,0,,,,,,"",""
ball,1,3.5,Bermuda,KS Leverock,T Manders,H Fennell,6,0,,,,,,"",""
