version,1.7.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Japan
info,gender,male
info,season,2023/24
info,date,2024/02/17
info,event,East Asia Cup
info,venue,"Mission Road Ground, Mong Kok, Hong Kong"
info,city,Mong Kok
info,toss_winner,Japan
info,toss_decision,field
info,player_of_match,Nizakat Khan
info,umpire,John Prakash
info,umpire,SJ D'Cruz
info,reserve_umpire,H Tukrul
info,match_referee,G Sankaranarayanan
info,winner,Hong Kong
info,winner_runs,34
info,player,Hong Kong,M Coetzee
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,JJ Atkinson
info,player,Hong Kong,Aizaz Khan
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,Nasrulla Rana
info,player,Hong Kong,Haroon Arshad
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,Anas Khan
info,player,Japan,L Yamamoto-Lake
info,player,Japan,K Kadowaki-Fleming
info,player,Japan,W Miyauchi
info,player,Japan,S Ravichandran
info,player,Japan,KH Abe
info,player,Japan,D Suzuki
info,player,Japan,I Takahashi
info,player,Japan,M Taniyama
info,player,Japan,C Hinze
info,player,Japan,R Drake
info,player,Japan,R Sakurano-Thomas
info,registry,people,Aizaz Khan,f6c2659d
info,registry,people,Anas Khan,66a7f213
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,C Hinze,626af7ff
info,registry,people,D Suzuki,64c81abf
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,G Sankaranarayanan,a4a348f9
info,registry,people,H Tukrul,a2880cb1
info,registry,people,Haroon Arshad,be0f9ce9
info,registry,people,I Takahashi,c988daa1
info,registry,people,JJ Atkinson,bf2d865c
info,registry,people,John Prakash,b5f3d429
info,registry,people,K Kadowaki-Fleming,33290a80
info,registry,people,KH Abe,f22d2247
info,registry,people,L Yamamoto-Lake,fa23405f
info,registry,people,M Coetzee,3f149080
info,registry,people,M Taniyama,cbd91942
info,registry,people,Nasrulla Rana,9ffb7550
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,R Drake,57b3c398
info,registry,people,R Sakurano-Thomas,dd14abf5
info,registry,people,S Ravichandran,9f2be73d
info,registry,people,SJ D'Cruz,ed62962b
info,registry,people,W Miyauchi,fef40097
info,registry,people,Yasim Murtaza,c9d05f1a
ball,1,0.1,Hong Kong,M Coetzee,Nizakat Khan,R Sakurano-Thomas,4,0,,,,,,"",""
ball,1,0.2,Hong Kong,M Coetzee,Nizakat Khan,R Sakurano-Thomas,4,0,,,,,,"",""
ball,1,0.3,Hong Kong,M Coetzee,Nizakat Khan,R Sakurano-Thomas,0,0,,,,,,"",""
ball,1,0.4,Hong Kong,M Coetzee,Nizakat Khan,R Sakurano-Thomas,4,0,,,,,,"",""
ball,1,0.5,Hong Kong,M Coetzee,Nizakat Khan,R Sakurano-Thomas,0,0,,,,,,bowled,M Coetzee
ball,1,0.6,Hong Kong,Anshuman Rath,Nizakat Khan,R Sakurano-Thomas,0,0,,,,,,"",""
ball,1,1.1,Hong Kong,Nizakat Khan,Anshuman Rath,D Suzuki,3,0,,,,,,"",""
ball,1,1.2,Hong Kong,Anshuman Rath,Nizakat Khan,D Suzuki,4,0,,,,,,"",""
ball,1,1.3,Hong Kong,Anshuman Rath,Nizakat Khan,D Suzuki,1,0,,,,,,"",""
ball,1,1.4,Hong Kong,Nizakat Khan,Anshuman Rath,D Suzuki,1,0,,,,,,"",""
ball,1,1.5,Hong Kong,Anshuman Rath,Nizakat Khan,D Suzuki,0,0,,,,,,"",""
ball,1,1.6,Hong Kong,Anshuman Rath,Nizakat Khan,D Suzuki,0,0,,,,,,"",""
ball,1,2.1,Hong Kong,Nizakat Khan,Anshuman Rath,R Sakurano-Thomas,1,0,,,,,,"",""
ball,1,2.2,Hong Kong,Anshuman Rath,Nizakat Khan,R Sakurano-Thomas,0,0,,,,,,"",""
ball,1,2.3,Hong Kong,Anshuman Rath,Nizakat Khan,R Sakurano-Thomas,1,0,,,,,,"",""
ball,1,2.4,Hong Kong,Nizakat Khan,Anshuman Rath,R Sakurano-Thomas,4,0,,,,,,"",""
ball,1,2.5,Hong Kong,Nizakat Khan,Anshuman Rath,R Sakurano-Thomas,0,1,1,,,,,"",""
ball,1,2.6,Hong Kong,Nizakat Khan,Anshuman Rath,R Sakurano-Thomas,0,0,,,,,,"",""
ball,1,2.7,Hong Kong,Nizakat Khan,Anshuman Rath,R Sakurano-Thomas,1,0,,,,,,"",""
ball,1,3.1,Hong Kong,Nizakat Khan,Anshuman Rath,D Suzuki,1,0,,,,,,"",""
ball,1,3.2,Hong Kong,Anshuman Rath,Nizakat Khan,D Suzuki,1,0,,,,,,"",""
