version,1.7.0
info,balls_per_over,6
info,team,Nigeria
info,team,Kenya
info,gender,male
info,season,2025
info,date,2025/07/27
info,event,Pearl of Africa T20I Series
info,match_number,17
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Nigeria
info,toss_decision,bat
info,umpire,Charles Kariuki
info,umpire,S Kintu
info,reserve_umpire,J Bamulese
info,match_referee,O Chirombe
info,winner,Kenya
info,winner_wickets,6
info,player,Nigeria,S Chilemanya
info,player,Nigeria,Sulaimon Runsewe
info,player,Nigeria,I Danladi
info,player,Nigeria,AE Isesele
info,player,Nigeria,VD Adewoye
info,player,Nigeria,DNA Ankrah
info,player,Nigeria,Mohameed Taiwo
info,player,Nigeria,SA Okpe
info,player,Nigeria,IO Okpe
info,player,Nigeria,AA Jimoh
info,player,Nigeria,P Aho
info,player,Kenya,P Sharma
info,player,Kenya,JS Kundi
info,player,Kenya,S Gill
info,player,Kenya,S Singh
info,player,Kenya,RR Patel
info,player,Kenya,Tanzeel Sheikh
info,player,Kenya,SO Ngoche
info,player,Kenya,F Mutua
info,player,Kenya,GM Muthui
info,player,Kenya,Vraj Patel
info,player,Kenya,Vishil Patel
info,registry,people,AA Jimoh,b506636b
info,registry,people,AE Isesele,5249f9c4
info,registry,people,Charles Kariuki,8de34db0
info,registry,people,DNA Ankrah,c6614fc0
info,registry,people,F Mutua,21b67523
info,registry,people,GM Muthui,d7e51f87
info,registry,people,I Danladi,c156cc1f
info,registry,people,IO Okpe,1c5c3dce
info,registry,people,J Bamulese,e8c8f086
info,registry,people,JS Kundi,092ccf20
info,registry,people,Mohameed Taiwo,a9d788e3
info,registry,people,O Chirombe,6345307f
info,registry,people,P Aho,2e392afa
info,registry,people,P Sharma,d047f983
info,registry,people,RR Patel,7fa6bd8e
info,registry,people,S Chilemanya,e1fe58ad
info,registry,people,S Gill,3e6e9a5f
info,registry,people,S Kintu,ff387f93
info,registry,people,S Singh,612a395c
info,registry,people,SA Okpe,681f522f
info,registry,people,SO Ngoche,49118dc7
info,registry,people,Sulaimon Runsewe,c25d26dc
info,registry,people,Tanzeel Sheikh,5493ad5c
info,registry,people,VD Adewoye,45a34a2d
info,registry,people,Vishil Patel,3df8f9d5
info,registry,people,Vraj Patel,2af28253
ball,1,0.1,Nigeria,S Chilemanya,Sulaimon Runsewe,S Gill,0,1,,,,1,,"",""
ball,1,0.2,Nigeria,Sulaimon Runsewe,S Chilemanya,S Gill,0,0,,,,,,"",""
ball,1,0.3,Nigeria,Sulaimon Runsewe,S Chilemanya,S Gill,0,4,,,,4,,"",""
ball,1,0.4,Nigeria,Sulaimon Runsewe,S Chilemanya,S Gill,1,0,,,,,,"",""
ball,1,0.5,Nigeria,S Chilemanya,Sulaimon Runsewe,S Gill,0,0,,,,,,lbw,S Chilemanya
ball,1,0.6,Nigeria,I Danladi,Sulaimon Runsewe,S Gill,0,0,,,,,,"",""
ball,1,1.1,Nigeria,Sulaimon Runsewe,I Danladi,GM Muthui,0,0,,,,,,"",""
ball,1,1.2,Nigeria,Sulaimon Runsewe,I Danladi,GM Muthui,0,0,,,,,,run out,Sulaimon Runsewe
ball,1,1.3,Nigeria,AE Isesele,I Danladi,GM Muthui,4,0,,,,,,"",""
ball,1,1.4,Nigeria,AE Isesele,I Danladi,GM Muthui,1,0,,,,,,"",""
ball,1,1.5,Nigeria,I Danladi,AE Isesele,GM Muthui,0,0,,,,,,"",""
ball,1,1.6,Nigeria,I Danladi,AE Isesele,GM Muthui,2,0,,,,,,"",""
ball,1,2.1,Nigeria,AE Isesele,I Danladi,S Gill,0,0,,,,,,bowled,AE Isesele
ball,1,2.2,Nigeria,VD Adewoye,I Danladi,S Gill,0,0,,,,,,"",""
ball,1,2.3,Nigeria,VD Adewoye,I Danladi,S Gill,0,0,,,,,,"",""
ball,1,2.4,Nigeria,VD Adewoye,I Danladi,S Gill,0,1,,,,1,,"",""
ball,1,2.5,Nigeria,I Danladi,VD Adewoye,S Gill,2,0,,,,,,"",""
ball,1,2.6,Nigeria,I Danladi,VD Adewoye,S Gill,0,0,,,,,,"",""
ball,1,3.1,Nigeria,VD Adewoye,I Danladi,GM Muthui,0,0,,,,,,"",""
ball,1,3.2,Nigeria,VD Adewoye,I Danladi,GM Muthui,1,0,,,,,,"",""
ball,1,3.3,Nigeria,I Danladi,VD Adewoye,GM Muthui,0,4,,,,4,,"",""
ball,1,3.4,Nigeria,I Danladi,VD Adewoye,GM Muthui,0,0,,,,,,"",""
ball,1,3.5,Nigeria,I Danladi,VD Adewoye,GM Muthui,1,0,,,,,,"",""
ball,1,3.6,Nigeria,VD Adewoye,I Danladi,GM Muthui,0,0,,,,,,caught,VD Adewoye
ball,1,4.1,Nigeria,I Danladi,DNA Ankrah,S Gill,0,0,,,,,,run out,I Danladi
ball,1,4.2,Nigeria,Mohameed Taiwo,DNA Ankrah,S Gill,0,0,,,,,,"",""
ball,1,4.3,Nigeria,Mohameed Taiwo,DNA Ankrah,S Gill,0,0,,,,,,"",""
ball,1,4.4,Nigeria,Mohameed Taiwo,DNA Ankrah,S Gill,0,0,,,,,,"",""
ball,1,4.5,Nigeria,Mohameed Taiwo,DNA Ankrah,S Gill,0,0,,,,,,"",""
ball,1,4.6,Nigeria,Mohameed Taiwo,DNA Ankrah,S Gill,1,0,,,,,,"",""
ball,1,5.1,Nigeria,Mohameed Taiwo,DNA Ankrah,GM Muthui,0,0,,,,,,"",""
ball,1,5.2,Nigeria,Mohameed Taiwo,DNA Ankrah,GM Muthui,0,0,,,,,,"",""
ball,1,5.3,Nigeria,Mohameed Taiwo,DNA Ankrah,GM Muthui,1,0,,,,,,"",""
ball,1,5.4,Nigeria,DNA Ankrah,Mohameed Taiwo,GM Muthui,0,0,,,,,,bowled,DNA Ankrah
ball,1,5.5,Nigeria,SA Okpe,Mohameed Taiwo,GM Muthui,0,0,,,,,,"",""
ball,1,5.6,Nigeria,SA Okpe,Mohameed Taiwo,GM Muthui,0,0,,,,,,"",""
ball,1,6.1,Nigeria,Mohameed Taiwo,SA Okpe,Vraj Patel,1,0,,,,,,"",""
ball,1,6.2,Nigeria,SA Okpe,Mohameed Taiwo,Vraj Patel,0,0,,,,,,"",""
ball,1,6.3,Nigeria,SA Okpe,Mohameed Taiwo,Vraj Patel,0,0,,,,,,"",""
ball,1,6.4,Nigeria,SA Okpe,Mohameed Taiwo,Vraj Patel,0,0,,,,,,"",""
ball,1,6.5,Nigeria,SA Okpe,Mohameed Taiwo,Vraj Patel,0,0,,,,,,"",""
ball,1,6.6,Nigeria,SA Okpe,Mohameed Taiwo,Vraj Patel,0,0,,,,,,"",""
ball,1,7.1,Nigeria,Mohameed Taiwo,SA Okpe,GM Muthui,2,0,,,,,,"",""
